phenotype1	phenotype2	lin
Shortening of all metacarpals	Amyotrophic lateral sclerosis	4.94196762868381e-05
Dysplastic aortic valve	Microcoria	4.7877152157943535e-05
Precocious puberty in males	Primum atrial septal defect	4.577027209409902e-05
Small scrotum	Retroperitoneal fibrosis	5.222176751133226e-05
High forehead	Genital blistering	0.0001883128744263831
Bicornuate uterus	Shoulder flexion contracture	5.7185202829471035e-05
Glomerular subendothelial electron-dense deposits	Structural foot deformity	7.98654433909015e-05
Speech articulation difficulties	Squamous cell carcinoma of the vulva	8.650813128311028e-05
Aplastic anemia	Longitudinal vaginal septum	5.018735786356822e-05
Preaxial hand polydactyly	Decreased serum testosterone concentration	6.018618481439208e-05
Hypoplasia of proximal fibula	Distal joint laxity	0.09155677151329773
Urinary urgency	Facial myokymia	5.756276621725458e-05
Glandular hypospadias	Dermatochalasis	9.719461910870474e-05
Erysipelas	Cerebral cortical neurodegeneration	4.433252921306609e-05
Loss of voice	Left ventricular diastolic dysfunction	4.63062709617351e-05
Intervertebral disk calcification	Maternal diabetes	4.697961363490384e-05
Generalized ichthyosis	Total absence of the pericardium	4.325406564155514e-05
Horseshoe kidney	Reduced blood urea nitrogen	5.18262354732069e-05
Malnutrition	Fundus albipunctatus	4.654557084673223e-05
Buphthalmos	Rieger anomaly	0.5741519655633711
Neonatal hyperbilirubinemia	Increased fetal movement	4.676934355271362e-05
Decreased circulating aldosterone level	Wide nasal base	5.360675626316975e-05
Painless fractures due to injury	Elevated circulating parathyroid hormone level	5.24840599429044e-05
Slender build	Vesicovaginal fistula	5.232854831112207e-05
Clusters of axonal regeneration	Oral cavity bleeding	7.98654433909015e-05
Atrophy of alveolar ridges	Hematocolpos	4.1527089114850486e-05
Broad femoral neck	Polycystic liver disease	5.253471651082554e-05
Polyneuropathy	Costal cartilage calcification	5.669413198812551e-05
Bicornuate uterus	Finger flexor weakness	0.00012738301750678198
Radial bowing	Schizophrenia	6.191692392439428e-05
Ankle swelling	Mediastinal lymphadenopathy	4.717802693158188e-05
Rapid neurologic deterioration	Difficulty running	4.885073886735671e-05
Proximal tibial hypoplasia	Recurrent singultus	3.993272169545075e-05
Rotary nystagmus	Progressive peripheral neuropathy	4.920200344776741e-05
Hypermethioninemia	Reduced number of intrahepatic bile ducts	4.5130913499260864e-05
Posterior vertebral hypoplasia	Ectopic posterior pituitary	4.433252921306609e-05
Parathyroid hypoplasia	Hypoplasia of the pyramidal tract	4.1527089114850486e-05
Impaired sensitivity to thyroid hormone	Extrapyramidal dyskinesia	4.7178026931581885e-05
Zollinger-Ellison syndrome	Progressive night blindness	4.433252921306609e-05
Diabetic ketoacidosis	Decreased beta-mannosidase activity	0.15338764516115358
Buphthalmos	Preaxial hand polydactyly	6.018618481439208e-05
Multiple mitochondrial DNA deletions	Mediastinal lymphadenopathy	5.344453059754979e-05
Aplasia of the thymus	Cervical spina bifida	9.093229424222477e-05
Vitreous hemorrhage	Broad fingertip	4.8463948876835354e-05
Molybdenum cofactor deficiency	Hyperechogenic kidneys	5.27797715776623e-05
Parkinsonism with favorable response to dopaminergic medication	Pure red cell aplasia	5.08325315417379e-05
Gynecomastia	Abnormal upper motor neuron morphology	5.960438795471947e-05
Ventricular escape rhythm	Neck hypertonia	8.650813128311028e-05
Tongue telangiectasia	Diffuse pancreatic islet hyperplasia	9.093229424222477e-05
Meningoencephalocele	Odynophagia	7.98654433909015e-05
Hypoplasia of the ciliary body	Elevated circulating follicle stimulating hormone level	4.982193529809303e-05
Oval face	Bulimia	4.8726132196001617e-05
Cerebral arteriovenous malformation	Nongranulomatous uveitis	4.433252921306609e-05
Glycosuria	Premature loss of permanent teeth	5.451122245882133e-05
Carotid artery tortuosity	Facet joint arthrosis	4.2520165072717376e-05
Endocardial fibrosis	Nonarteritic anterior ischemic optic neuropathy	4.63062709617351e-05
Chronic otitis media	Infantile hypercalcemia	4.787715215794353e-05
Nonketotic hypoglycemia	Delayed CNS myelination	5.8406842192027024e-05
Autophagic vacuoles	Recurrent subcortical infarcts	4.676934355271362e-05
Irregular metacarpals	Urachal cyst	3.993272169545075e-05
Limbal dermoid	Supraumbilical raphe	4.513091349926087e-05
Premature occlusive vascular stenosis	Benign genitourinary tract neoplasm	3.993272169545075e-05
Lymph node hypoplasia	Thigh hypertrophy	4.433252921306609e-05
Reduced number of intrahepatic bile ducts	Impaired distal proprioception	4.577027209409902e-05
Mutism	Neonatal breathing dysregulation	5.296668428055062e-05
Decreased circulating total IgM	Spontaneous cerebrospinal fluid leak	5.132517819247823e-05
Sclerotic vertebral endplates	Laryngeal calcification	0.09425059015838262
Atrophy of the dentate nucleus	Delirium	0.07076563803974453
Steatorrhea	Increased oocyte death	4.908842810983609e-05
Recurrent thrombophlebitis	Increased fecal bile acid	4.384100649655963e-05
Fragile nails	Episodic generalized hypotonia	4.982193529809303e-05
Melena	Hepatic periportal necrosis	0.15107272735929947
Distal tibial bowing	Acral blistering	4.2520165072717376e-05
Decreased HDL cholesterol concentration	Irregular metacarpals	4.8463948876835354e-05
Steatorrhea	Transient hyperlipidemia	4.908842810983609e-05
Proximal tibial hypoplasia	Leg muscle stiffness	0.17283875355898934
Generalized papillary lesions	Hypoplasia of the lacrimal punctum	4.1527089114850486e-05
Patellar hypoplasia	Electronegative electroretinogram	5.164509580017892e-05
Thickened ribs	Increased hematocrit	5.125821869171633e-05
Recurrent myoglobinuria	Pancreatic hyperplasia	4.1527089114850486e-05
Joint hemorrhage	Oxygen desaturation on exertion	4.697961363490384e-05
Ridged fingernail	Laryngeal dystonia	4.577027209409902e-05
Retroperitoneal fibrosis	Increased sensitivity to ionizing radiation	4.433252921306609e-05
Mandibular hyperostosis	Amegakaryocytic thrombocytopenia	4.2520165072717376e-05
Diffuse cerebral sclerosis	Cholesteatoma	4.475678658742209e-05
Scapuloperoneal amyotrophy	Freckles in sun-exposed areas	4.513091349926087e-05
Episodic hypertension	Bowel irritability	4.433252921306609e-05
Iridocyclitis	Decreased acid ceramidase activity	4.2520165072717376e-05
Renal salt wasting	Antegonial notching of mandible	4.96259101477913e-05
Selective tooth agenesis	Horizontal pendular nystagmus	5.541250221749201e-05
Intellectual disability, profound	Spondyloepiphyseal dysplasia	6.828185765857328e-05
Papillary renal cell carcinoma type 2	Ductal carcinoma in situ	0.6380586602466612
Polysplenia	Cicatricial lagophthalmos	4.803278487698834e-05
Extrahepatic biliary duct atresia	Large vessel vasculitis	4.325406564155514e-05
Congenital agranulocytosis	Decreased glucose-6-phosphate dehydrogenase level in blood	4.1527089114850486e-05
Keratoconjunctivitis sicca	Impaired neutrophil chemotaxis	0.23360684164384635
Pyoderma	Numerous nevi	0.1983668454421116
Impaired collagen-induced platelet aggregation	Hamartoma of tongue	5.4736734480720864e-05
Spastic tetraplegia	EEG with parietal focal spikes	0.10071350537646657
Hyperplasia of the femoral trochanters	Distal peripheral sensory neuropathy	3.993272169545075e-05
Mesomelic short stature	Severe conductive hearing impairment	9.964387059618607e-05
Parathyroid hyperplasia	Reduced haptoglobin level	4.8463948876835354e-05
Biliary cirrhosis	Psoriasiform lesion	4.818212141725109e-05
Pelvic kidney	Frontal release signs	5.194293364576683e-05
Septic arthritis	Decreased circulating renin level	5.125821869171633e-05
Congenital exfoliative erythroderma	Severe photosensitivity	0.15654098155881954
Hyperuricemia	Ankyloblepharon	5.821561274234579e-05
Hyperopic astigmatism	Premature occlusive vascular stenosis	4.433252921306609e-05
Mandibular osteomyelitis	Graves disease	4.1527089114850486e-05
Absent nasal bridge	Hypertrophied muscle fibers	4.2520165072717376e-05
Proximal femoral epiphysiolysis	Enlarged cerebellum	4.754448578692532e-05
Myxoid subcutaneous tumors	Craniopharyngioma	0.2855918766130212
Hepatosplenomegaly	Cervical C5/C6 vertebrae fusion	5.7339393780809814e-05
Alzheimer disease	Recurrent pyelonephritis	0.0001055595431553246
Galactose intolerance	Target cells	3.993272169545075e-05
Renal artery stenosis	Elevated serum transaminases during infections	4.717802693158188e-05
Normocytic anemia	Plantar flexion contractures	4.676934355271362e-05
Limited neck range of motion	Molar tooth sign on MRI	5.633950201869397e-05
Generalized hypertrichosis	Heinz body anemia	4.1527089114850486e-05
Irregularity of vertebral bodies	Myxoid subcutaneous tumors	3.993272169545075e-05
Chorioretinal dysplasia	Slowed horizontal saccades	0.10627680362733463
Adrenocorticotropin receptor defect	Porokeratosis	4.5466147121112386e-05
Short philtrum	Cartilaginous ossification of larynx	5.911325940224504e-05
Freckles in sun-exposed areas	Generalized limb muscle atrophy	4.513091349926087e-05
Pyloric stenosis	Geographic tongue	5.027377610626894e-05
Hypohidrotic ectodermal dysplasia	Inguinal freckling	0.20562581637492178
Elevated urinary norepinephrine	Cachexia	4.982193529809304e-05
Solitary median maxillary central incisor	Electronegative electroretinogram	5.24840599429044e-05
Large central visual field defect	Hypermethioninemia	0.00010376994962935547
Spinal rigidity	Hypothalamic hypothyroidism	4.8971417820076086e-05
Hip dysplasia	Posterior retinal neovascularization	5.27797715776623e-05
Transient hyperlipidemia	Mixed astigmatism	3.993272169545075e-05
Severe sensorineural hearing impairment	Decreased serum bicarbonate concentration	4.513091349926087e-05
Apathy	Vitamin B12 deficiency	5.575766213599954e-05
Congenital nonbullous ichthyosiform erythroderma	Renal hypophosphatemia	4.818212141725109e-05
Complete atrioventricular canal defect	Hypersensitivity pneumonitis	4.697961363490384e-05
Ambiguous genitalia, female	Bile duct proliferation	5.610498254818471e-05
Aplasia of the ulna	Pleural lymphangiectasia	4.475678658742209e-05
Mild postnatal growth retardation	Gastric varix	4.63062709617351e-05
Decreased adenosylcobalamin	Self-neglect	9.964387059618607e-05
Temperature instability	Discoid lupus rash	5.018735786356822e-05
Trigonocephaly	Sensory ataxic neuropathy	5.464135986470626e-05
Secondary hyperparathyroidism	Vitreous hemorrhage	4.717802693158188e-05
Hypoplasia of proximal radius	Aneurysmal bone cyst	0.19277538074698986
Refractory anemia with ringed sideroblasts	Oral synechia	4.2520165072717376e-05
Elbow ankylosis	Ovotestis	4.7877152157943535e-05
Normochromic anemia	Post-vaccination polio	4.475678658742209e-05
Knee osteoarthritis	Decreased circulating cortisol level	5.194293364576683e-05
Premature delivery because of cervical insufficiency or membrane fragility	Mesangial Immune complex deposition	3.993272169545075e-05
Myopathic facies	Recurrent Haemophilus influenzae infections	5.2920671440384854e-05
Thick skull base	Decreased circulating lipoprotein lipase concentration	8.650813128311028e-05
Intractable diarrhea	Medial calcification of large arteries	4.433252921306609e-05
Odontodysplasia	Failure to thrive in infancy	5.253471651082554e-05
Atypical neurofibromatosis	Erythematous macule	0.3130819631176391
Right-to-left shunt	Elevated urinary delta-aminolevulinic acid	4.846394887683536e-05
Hypoplasia of first ribs	Microcoria	4.697961363490384e-05
Progressive spastic paraplegia	Narrow nasal tip	9.093229424222477e-05
Diabetic ketoacidosis	Hypernatremic dehydration	0.2660505780895622
Large forehead	Podocyte foot process effacement	5.532938464517967e-05
Hyperkinetic movements	Retinal arterial macroaneurysms	4.885073886735671e-05
Reticulocytopenia	Post-vaccination polio	4.63062709617351e-05
Synophrys	Decreased platelet glycoprotein IIb-IIIa	5.846917057817124e-05
Expressive aphasia	Alveolar soft part sarcoma	4.1527089114850486e-05
Sudden episodic apnea	Glomus jugular tumor	4.513091349926087e-05
Polysplenia	Hypoplasia of the frontal bone	5.035839919835104e-05
Chronic lymphocytic meningitis	Agenesis of canine	3.993272169545075e-05
Long philtrum	Joint swelling	7.439126758241784e-05
Hypoplastic pulmonary veins	Bulimia	4.433252921306609e-05
Unexplained fevers	Decreased Achilles reflex	4.63062709617351e-05
Small scrotum	Neoplasm of the pharynx	0.00013176105666314348
Primary congenital glaucoma	Thyroid follicular hyperplasia	4.2520165072717376e-05
Synophrys	Progressive spastic paraplegia	6.04572387719515e-05
Bilateral basal ganglia lesions	Dysfunction of lateral corticospinal tracts	0.1252296623461168
Hypercalciuria	Late-onset proximal muscle weakness	5.4025992647717224e-05
Transverse vaginal septum	Prominent nasal tip	5.08325315417379e-05
Septic arthritis	Demyelinating sensory neuropathy	4.63062709617351e-05
Cervical C5/C6 vertebrae fusion	Pulmonary pneumatocele	4.2520165072717376e-05
Impaired gluconeogenesis	Reduced muscle fiber alpha dystroglycan	9.093229424222477e-05
Adrenal pheochromocytoma	Visual acuity no light perception	9.093229424222477e-05
Duodenal ulcer	Microcoria	5.060226372522096e-05
Generalized hyperreflexia	Peripapillary atrophy	4.754448578692532e-05
Projectile vomiting	Large iliac wing	4.384100649655963e-05
Dysfunctional alternative complement pathway	Bicoronal synostosis	4.5466147121112386e-05
Pointed chin	Adult onset sensorineural hearing impairment	5.902956630429037e-05
Hyperostosis frontalis interna	Multiple skeletal anomalies	0.09253928268581664
Spontaneous esophageal perforation	Abnormal location of the eyebrow	8.650813128311028e-05
Square pelvis bone	Blue nevus	4.5466147121112386e-05
Broad femoral neck	Increased red blood cell count	0.0001185272603556364
Impaired gluconeogenesis	Abnormal cricoid cartilage morphology	9.093229424222477e-05
Visual hallucinations	Mucoid diarrhea	4.433252921306609e-05
Relatively short spine	Reduced MHC II surface expression	7.98654433909015e-05
Prolonged prothrombin time	Elevated circulating creatine concentration	4.8463948876835354e-05
Juvenile cataract	Focal lissencephaly	4.384100649655963e-05
Concentric hypertrophic cardiomyopathy	Heinz bodies	4.885073886735671e-05
Round face	Congenital hypoplastic anemia	5.897309018295367e-05
Trimethylaminuria	Left atrial enlargement	4.717802693158188e-05
Cutis marmorata	Atrial septal dilatation	0.17619073866260274
Chronic myelogenous leukemia	Abdominal rigidity	8.650813128311028e-05
Phonophobia	Acral ulceration	5.376354883792309e-05
Dystrophic fingernails	Basilar invagination	4.5466147121112386e-05
Pulp calcification	Benign gastrointestinal tract tumors	4.433252921306609e-05
Trismus	Retinal arteriolar occlusion	0.1069347036931633
Generalized arterial calcification	Bifid ureter	4.384100649655963e-05
Ovarian papillary adenocarcinoma	Cerebellar vermis atrophy	4.9312355433677e-05
Autonomic bladder dysfunction	Intrahepatic bile duct dilatation	4.433252921306609e-05
Arterial fibromuscular dysplasia	Bronchiolitis obliterans	4.433252921306609e-05
Retinal dysplasia	Retinal arteriolar constriction	0.35792687740266055
Hypoglycemic coma	Focal polymicrogyria	0.07678757993244156
Agenesis of incisor	Recurrent viral upper respiratory tract infections	0.13705279264605172
Personality changes	Elevated brain lactate level by MRS	0.11360156435826468
Muscle fiber splitting	Geographic tongue	4.7365940235228194e-05
Deposits immunoreactive to beta-amyloid protein	Papillary renal cell carcinoma type 2	8.650813128311028e-05
Short columella	Tubulointerstitial fibrosis	5.9767649943241966e-05
Atrophy of the dentate nucleus	Ridged cranial sutures	4.1527089114850486e-05
Parathyroid hyperplasia	Abdominal situs ambiguus	4.5466147121112386e-05
Failure to thrive in infancy	Periventricular leukomalacia	6.365797322781971e-05
Retrocollis	Supraumbilical raphe	0.06764799559301893
Polyarticular arthritis	Triangular tongue	0.06764799559301893
Gonadal dysgenesis with female appearance, male	Enterocutaneous fistula	3.993272169545075e-05
Impaired distal tactile sensation	Cardiac rhabdomyoma	5.112104480324602e-05
Moderate sensorineural hearing impairment	Osteopoikilosis	4.1527089114850486e-05
Peters anomaly	Thoracic kyphoscoliosis	5.360675626316975e-05
Supranuclear ophthalmoplegia	Decreased methylcobalamin	4.897141782007609e-05
Short femur	Episodic upper airway obstruction	4.803278487698834e-05
Chronic bronchitis	Prostate cancer	5.53849488235464e-05
Broad nasal tip	Colon cancer	7.011721564263619e-05
Webbed neck	Myofibromatosis	5.585931832960455e-05
Crusting erythematous dermatitis	Medial deviation of the foot	3.993272169545075e-05
Angina pectoris	Stage 1 chronic kidney disease	4.818212141725109e-05
Phimosis	Long metacarpals	4.577027209409902e-05
Moderate postnatal growth retardation	Immotile cilia	4.63062709617351e-05
Dysfunctional alternative complement pathway	Hypoplasia of the ciliary body	3.993272169545075e-05
Scapular winging	Unilateral vestibular schwannoma	5.447813650210292e-05
Asymmetry of the thorax	Short hard palate	4.63062709617351e-05
Chronic hemolytic anemia	Severe sensorineural hearing impairment	4.7877152157943535e-05
Coxa magna	Lumbar kyphoscoliosis	0.09638769037349493
Polyclonal elevation of IgM	Epigastric pain	4.433252921306609e-05
Short upper lip	Prominent forehead	0.17697531141378556
Skeletal myopathy	Long uvula	7.98654433909015e-05
Limited knee flexion	Extremely elevated creatine kinase	4.2520165072717376e-05
Petechiae	Ectopic posterior pituitary	5.492209511851603e-05
Central diabetes insipidus	Hypohidrotic ectodermal dysplasia	4.9202003447767416e-05
Hypoplasia of lymphatic vessels	Decreased prealbumin level	9.093229424222477e-05
Nocturnal hypoventilation	Multiple small vertebral fractures	4.676934355271362e-05
Paronychia	Attention deficit hyperactivity disorder	6.225760780745825e-05
Intention tremor	Pleural lymphangiectasia	5.222176751133226e-05
Alopecia universalis	Seborrheic keratosis	0.15607495078430414
Generalized limb muscle atrophy	Dependency on intravenous nutrition	9.435605386316377e-05
Ureterocele	Arthrogryposis multiplex congenita	6.0842493747429076e-05
Lymphocytic interstitial pneumonia	Subarterial ventricular septal defect	9.093229424222477e-05
Presenile cataracts	Cervical spinal canal stenosis	4.433252921306609e-05
Joint swelling	Reflex asystolic syncope	0.00011286086210161102
Visual hallucinations	Reticulated skin pigmentation	4.846394887683536e-05
Short diaphyses	Late-onset spinocerebellar degeneration	4.1527089114850486e-05
Basilar impression	Thin eyebrow	0.11836695170096923
Polyneuropathy	Recurrent E. coli infections	5.669413198812551e-05
Talocalcaneal synostosis	Sparse facial hair	4.1527089114850486e-05
Excessive daytime somnolence	Recurrent patellar dislocation	5.2731814525986136e-05
Transitional cell carcinoma of the bladder	Decreased circulating parathyroid hormone level	4.859730955435237e-05
Optic nerve compression	Hyperimidodipeptiduria	4.325406564155514e-05
Urethral diverticulum	Paranoia	4.475678658742209e-05
Subarachnoid hemorrhage	Euthyroid hyperthyroxinemia	4.982193529809304e-05
Synophrys	Carotid artery dilatation	6.04572387719515e-05
Apneic episodes in infancy	Failure of eruption of permanent teeth	4.8463948876835354e-05
Duodenal atresia	Recurrent opportunistic infections	5.3444530597549796e-05
Irregular tarsal bones	Large knee	0.1623211441502203
Talipes calcaneovarus	Decreased FasL-mediated apoptosis	3.993272169545075e-05
Photosensitive tonic-clonic seizure	Increased carotid artery intimal medial thickness	8.650813128311028e-05
Iritis	Congenital aphakia	0.2560979497180368
Thoracic dysplasia	Decreased specific pneumococcal antibody level	5.060226372522096e-05
Split foot	Cellulitis	0.0909671401234143
Palmoplantar hyperhidrosis	Increased circulating chylomicron concentration	5.052257145344946e-05
Hyperkeratosis with erythema	Pulmonary venous hypertension	7.98654433909015e-05
Short nasal septum	Reduced circulating growth hormone concentration	4.433252921306609e-05
Hepatocellular necrosis	Decreased hip abduction	5.035839919835104e-05
Hyperorality	Radially deviated wrists	4.433252921306609e-05
Elevated plasma branched chain amino acids	Type II pneumocyte hyperplasia	3.993272169545075e-05
Autoimmune thrombocytopenia	Hyperechogenic kidneys	6.329194211195345e-05
Posterior vitreous detachment	Equinovarus deformity	4.63062709617351e-05
Renal cortical adenoma	Subperiosteal bone formation	4.325406564155514e-05
Increased red blood cell mass	Methemoglobinemia	0.38303352789363315
Axial muscle weakness	Myelokathexis	4.787715215794353e-05
Poor head control	Menometrorrhagia	0.00015645143614602576
Cogwheel rigidity	Slowed horizontal saccades	4.6048912897620735e-05
Euthyroid hyperthyroxinemia	Moon facies	4.513091349926087e-05
Polyuria	Ocular flutter	5.2634344611296555e-05
Synophrys	Colon perforation	5.535724358328559e-05
Insulin-dependent but ketosis-resistant diabetes	Antalgic gait	7.98654433909015e-05
EMG: chronic denervation signs	Coombs-positive hemolytic anemia	5.232854831112207e-05
Amelogenesis imperfecta	T2 hypointense thalamus	4.982193529809303e-05
Avascular necrosis of the capital femoral epiphysis	Cleft mandible	0.11012718424595326
Cerebral artery atherosclerosis	Conical incisor	4.63062709617351e-05
Positive Romberg sign	Elevated plasma branched chain amino acids	4.697961363490384e-05
Intermittent diarrhea	Impaired collagen-induced platelet aggregation	5.258480685017681e-05
Abnormal upper motor neuron morphology	Proximal upper limb amyotrophy	4.982193529809304e-05
Webbed neck	Single umbilical artery	7.092026266054536e-05
Drooling	Automatic atrial tachycardia	0.000153944681915502
Sudanophilic leukodystrophy	Episodic peripheral neuropathy	0.0666719633533539
Salmonella osteomyelitis	Foot dorsiflexor weakness	0.08143834069847618
Episodic respiratory distress	Small cell lung carcinoma	0.0
Primary congenital glaucoma	Cheyne-Stokes respiration	4.2520165072717376e-05
Primary amenorrhea	Nodular corneal dystrophy	5.200013425095543e-05
Arrhinencephaly	Autophagic vacuoles	5.18262354732069e-05
Macular hypoplasia	Forearm reduction defects	4.818212141725109e-05
Gait imbalance	Shortening of all middle phalanges of the fingers	5.258480685017681e-05
Long second metacarpal	Increased sensitivity to ionizing radiation	4.2520165072717376e-05
Short lingual frenulum	Dacryocystocele	0.12035775720026379
Xanthelasma	Anterior lenticonus	4.9202003447767416e-05
Polyclonal elevation of IgM	Distal shortening of limbs	4.325406564155514e-05
Choroid plexus cyst	Multiple rib fractures	5.018735786356822e-05
Diffuse mesangial sclerosis	Muscle hyperirritability	5.000878978756325e-05
Corpus callosum atrophy	Oral-pharyngeal dysphagia	0.08929070594182831
