phenotype1	phenotype2	lin	cos
Sloping forehead	Arterial rupture	6.0300600883052505e-05	-0.022733713
Severe failure to thrive	Hurthle cell thyroid adenoma	4.384100649655963e-05	0.11605989
Erysipelas	Orbital craniosynostosis	4.433252921306609e-05	0.07217148
High forehead	Subungual hyperkeratosis	6.516334142291986e-05	0.18753378
Hallux valgus	Arcuate scotoma	0.0001363029063225	0.124602936
Macrovesicular hepatic steatosis	Lumbar hemivertebrae	4.982193529809303e-05	0.16542996
Gingival hyperkeratosis	L-2-hydroxyglutaric aciduria	4.325406564155514e-05	0.1964747
Decreased serum leptin	Recurrent myoglobinuria	4.577027209409902e-05	0.16287869
Intractable diarrhea	Bilateral postaxial polydactyly	4.63062709617351e-05	0.1634777
Retinal arteriolar tortuosity	Laryngomalacia	5.575766213599954e-05	0.16509406
Peters anomaly	Generalized bone demineralization	5.164509580017892e-05	0.117500104
Molybdenum cofactor deficiency	Delirium	4.63062709617351e-05	0.1791603
Generalized muscle weakness	Short thorax	0.0927933385106227	0.23613915
Penoscrotal hypospadias	Occipital encephalocele	5.686289423158692e-05	0.24392767
Recurrent otitis media	Thyroid agenesis	5.8247939437248e-05	0.12733719
Carious teeth	Neuropathic spinal arthropathy	5.560127284614295e-05	0.0858804
Agitation	Dislocated wrist	4.9312355433677e-05	0.2274813
Prominent occiput	Numerous nevi	5.686289423158692e-05	0.12557721
Pelvic kidney	Propionyl-CoA carboxylase deficiency	4.8726132196001617e-05	0.2724088
Large foramen magnum	Pseudoaneurysm	9.719461910870474e-05	0.24521579
Laryngeal stridor	Glenoid fossa hypoplasia	4.546614712111239e-05	0.20200376
Hyperchloremic metabolic acidosis	Scalp tenderness	0.0001037699496293	0.18245354
Megalocornea	Antegonial notching of mandible	5.0522571453449456e-05	0.15578404
Babinski sign	Hypoplasia of the prostate	5.758097422370349e-05	-0.068943955
Partial agenesis of the corpus callosum	Deformed radius	5.018735786356822e-05	0.31827357
Primary amenorrhea	Reduced circulating C-reactive protein concecntration	0.0001490388553552	0.07988714
Bilateral postaxial polydactyly	Hypoplasia of the lower eyelids	4.325406564155514e-05	0.39828345
