phenotypeId	numberPapers	phenotypeName
HP:0000003	229	Multicystic kidney dysplasia
HP:0000011	229	Neurogenic bladder
HP:0000012	229	Urinary urgency
HP:0000013	229	Hypoplasia of the uterus
HP:0000017	229	Nocturia
HP:0000019	229	Urinary hesitancy
HP:0000021	229	Megacystis
HP:0000023	229	Inguinal hernia
HP:0000026	229	Male hypogonadism
HP:0000029	229	Testicular atrophy
HP:0000030	134	Testicular gonadoblastoma
HP:0000031	229	Epididymitis
HP:0000039	229	Epispadias
HP:0000040	229	Long penis
HP:0000041	229	Chordee
HP:0000042	191	Absent external genitalia
HP:0000044	229	Hypogonadotropic hypogonadism
HP:0000046	229	Small scrotum
HP:0000048	100	Bifid scrotum
HP:0000051	227	Perineal hypospadias
HP:0000054	229	Micropenis
HP:0000060	177	Clitoral hypoplasia
HP:0000061	229	Ambiguous genitalia, female
HP:0000070	229	Ureterocele
HP:0000074	229	Ureteropelvic junction obstruction
HP:0000081	229	Duplicated collecting system
HP:0000085	229	Horseshoe kidney
HP:0000090	229	Nephronophthisis
HP:0000097	229	Focal segmental glomerulosclerosis
HP:0000103	229	Polyuria
HP:0000105	229	Enlarged kidney
HP:0000108	75	Renal corticomedullary cysts
HP:0000112	229	Nephropathy
HP:0000113	229	Polycystic kidney dysplasia
HP:0000117	229	Renal phosphate wasting
HP:0000125	229	Pelvic kidney
HP:0000126	229	Hydronephrosis
HP:0000127	229	Renal salt wasting
HP:0000128	229	Renal potassium wasting
HP:0000131	229	Uterine leiomyoma
HP:0000132	229	Menorrhagia
HP:0000134	229	Female hypogonadism
HP:0000139	229	Uterine prolapse
HP:0000143	229	Rectovaginal fistula
HP:0000145	146	Transverse vaginal septum
HP:0000148	229	Vaginal atresia
HP:0000149	200	Ovarian gonadoblastoma
HP:0000151	229	Aplasia of the uterus
HP:0000154	229	Wide mouth
HP:0000155	229	Oral ulcer
HP:0000160	229	Narrow mouth
HP:0000161	229	Median cleft lip
HP:0000162	229	Glossoptosis
HP:0000166	229	Severe periodontitis
HP:0000169	229	Gingival fibromatosis
HP:0000171	229	Microglossia
HP:0000179	45	Thick lower lip vermilion
HP:0000180	101	Lobulated tongue
HP:0000183	173	Difficulty in tongue movements
HP:0000188	229	Short upper lip
HP:0000193	157	Bifid uvula
HP:0000198	45	Absence of Stensen duct
HP:0000199	229	Tongue nodules
HP:0000200	112	Short lingual frenulum
HP:0000201	229	Pierre-Robin sequence
HP:0000206	229	Glossitis
HP:0000211	229	Trismus
HP:0000212	229	Gingival overgrowth
HP:0000214	43	Lip telangiectasia
HP:0000215	62	Thick upper lip vermilion
HP:0000217	229	Xerostomia
HP:0000220	229	Velopharyngeal insufficiency
