phenotypeId	phenotypeName	numberPapers
HP:0009805	Low-output congestive heart failure	223
HP:0001722	High-output congestive heart failure	485
HP:0011726	Persistent fetal circulation	820
HP:0006670	Impaired myocardial contractility	996
HP:0030149	Cardiogenic shock	615
HP:0031274	Hypovolemic shock	770
HP:0012670	Orthostatic syncope	885
HP:0500173	Reflex asystolic syncope	113
HP:0005168	Elevated right atrial pressure	814
HP:0005316	Peripheral pulmonary vessel aplasia	213
HP:0005311	Agenesis of pulmonary vessels	815
HP:0006548	Pulmonary arteriovenous malformation	757
HP:0005954	Pulmonary capillary hemangiomatosis	141
HP:0006576	Hepatic vascular malformations	836
HP:0006574	Hepatic arteriovenous malformation	538
HP:0100665	Angioedema	693
HP:0000965	Cutis marmorata	771
HP:0002490	Increased CSF lactate	418
HP:0040204	Elevated CSF neopterin level	68
HP:0034201	Increased CSF homovanillic acid concentration	58
HP:0003785	Decreased CSF homovanillic acid concentration	41
HP:0032531	Elevated CSF gamma-aminobutyric acid concentration	14
HP:0032532	Elevated CSF 4-hydroxybutyric acid concentration	2
HP:0011972	Hypoglycorrhachia	150
HP:0040209	Decreased CSF biopterin level	26
HP:0033009	Increased fecal coproporphyrin 1	9
HP:0033010	Increased fecal coproporphyrin 3	7
HP:0500115	Increased stool urobilinogen concentration	3
HP:0032486	Elevated fecal osmolality	14
HP:0025458	Decreased CSF albumin concentration	127
HP:0500239	Increased CSF albumin concentration	267
HP:0000127	Renal salt wasting	426
HP:0034279	2,8-dihydroxyadenine crystalluria	14
HP:0003526	Orotic acid crystalluria	1
HP:0012543	Hemosiderinuria	11
HP:0031811	Bilirubinuria	34
HP:0033594	Elevated urinary 7-biopterin level	0
HP:0003163	Elevated urinary delta-aminolevulinic acid	55
HP:0003239	Phosphoethanolaminuria	26
HP:0003076	Glycosuria	924
HP:0500170	Abnormal concentration of acylcarnitine in the urine	18
HP:0003491	Elevated urine pyrophosphate	21
HP:0011942	Increased urinary sulfite	30
HP:0003614	Trimethylaminuria	120
HP:0011814	Increased urinary hypoxanthine	325
HP:0034006	Decreased urinary lysyl-pyridinoline-hydroxylysyl-pyridinoline ratio	1000
HP:0003606	Absent urinary urothione	0
HP:0011943	Increased urinary thiosulfate	37
HP:0032567	Lipiduria	26
HP:0010934	Xanthinuria	87
HP:0410156	Increased level of N-acetylneuraminic acid in urine	17
HP:0033187	Hyperimidodipeptiduria	101
HP:0003158	Hyposthenuria	67
HP:0032568	Urinary mulberry cells	24
HP:0031504	Foamy urine	64
HP:0032347	Cutaneous macular amyloidosis	72
HP:0032346	Cutaneous lichen amyloidosis	91
HP:0005973	Fructose intolerance	546
HP:0004919	Galactose intolerance	658
HP:0005979	Metabolic ketoacidosis	886
HP:0005974	Episodic ketoacidosis	807
HP:0032308	Increased circulating procalcitonin concentration	46
HP:0031817	Decreased circulating parathyroid hormone level	307
HP:0003165	Elevated circulating parathyroid hormone level	204
HP:0003528	Elevated calcitonin	980
HP:0100493	Hypoammonemia	0
