phenotypeId	numberPapers	phenotypeName
HP:0000003	239	Multicystic kidney dysplasia
HP:0000011	239	Neurogenic bladder
HP:0000012	239	Urinary urgency
HP:0000013	239	Hypoplasia of the uterus
HP:0000017	239	Nocturia
HP:0000019	239	Urinary hesitancy
HP:0000021	239	Megacystis
HP:0000023	239	Inguinal hernia
HP:0000026	239	Male hypogonadism
HP:0000029	239	Testicular atrophy
HP:0000030	142	Testicular gonadoblastoma
HP:0000031	239	Epididymitis
HP:0000039	239	Epispadias
HP:0000040	239	Long penis
HP:0000041	239	Chordee
HP:0000042	204	Absent external genitalia
HP:0000044	239	Hypogonadotropic hypogonadism
HP:0000046	239	Small scrotum
HP:0000048	102	Bifid scrotum
HP:0000051	239	Perineal hypospadias
HP:0000054	239	Micropenis
HP:0000060	184	Clitoral hypoplasia
HP:0000061	239	Ambiguous genitalia, female
HP:0000070	239	Ureterocele
HP:0000074	239	Ureteropelvic junction obstruction
HP:0000081	239	Duplicated collecting system
HP:0000085	239	Horseshoe kidney
HP:0000090	239	Nephronophthisis
HP:0000097	239	Focal segmental glomerulosclerosis
HP:0000103	239	Polyuria
HP:0000105	239	Enlarged kidney
HP:0000108	81	Renal corticomedullary cysts
HP:0000112	239	Nephropathy
HP:0000113	239	Polycystic kidney dysplasia
HP:0000117	239	Renal phosphate wasting
HP:0000125	239	Pelvic kidney
HP:0000126	239	Hydronephrosis
HP:0000127	239	Renal salt wasting
HP:0000128	239	Renal potassium wasting
HP:0000131	239	Uterine leiomyoma
HP:0000132	239	Menorrhagia
HP:0000134	239	Female hypogonadism
HP:0000139	239	Uterine prolapse
HP:0000143	239	Rectovaginal fistula
HP:0000145	149	Transverse vaginal septum
HP:0000148	239	Vaginal atresia
HP:0000149	209	Ovarian gonadoblastoma
HP:0000151	239	Aplasia of the uterus
HP:0000154	239	Wide mouth
HP:0000155	239	Oral ulcer
HP:0000160	239	Narrow mouth
HP:0000161	239	Median cleft lip
HP:0000162	239	Glossoptosis
HP:0000166	239	Severe periodontitis
HP:0000169	239	Gingival fibromatosis
HP:0000171	239	Microglossia
HP:0000179	45	Thick lower lip vermilion
HP:0000180	103	Lobulated tongue
HP:0000183	181	Difficulty in tongue movements
HP:0000188	239	Short upper lip
HP:0000193	165	Bifid uvula
HP:0000198	49	Absence of Stensen duct
HP:0000199	239	Tongue nodules
HP:0000200	116	Short lingual frenulum
HP:0000201	239	Pierre-Robin sequence
HP:0000206	239	Glossitis
HP:0000211	239	Trismus
HP:0000212	239	Gingival overgrowth
HP:0000214	42	Lip telangiectasia
HP:0000215	62	Thick upper lip vermilion
HP:0000217	239	Xerostomia
HP:0000219	39	Thin upper lip vermilion
HP:0000220	239	Velopharyngeal insufficiency
HP:0000222	124	Gingival hyperkeratosis
HP:0000224	239	Hypogeusia
HP:0000225	239	Gingival bleeding
HP:0000227	62	Tongue telangiectasia
HP:0000237	56	Small anterior fontanelle
HP:0000243	239	Trigonocephaly
HP:0000250	239	Dense calvaria
HP:0000253	239	Progressive microcephaly
HP:0000260	40	Wide anterior fontanel
HP:0000263	239	Oxycephaly
HP:0000265	239	Mastoiditis
HP:0000269	53	Prominent occiput
HP:0000272	87	Malar flattening
HP:0000273	239	Facial grimacing
HP:0000275	239	Narrow face
HP:0000276	239	Long face
HP:0000283	239	Broad face
HP:0000287	239	Increased facial adipose tissue
HP:0000289	239	Broad philtrum
HP:0000293	239	Full cheeks
HP:0000297	239	Facial hypotonia
HP:0000298	54	Mask-like facies
HP:0000300	239	Oval face
HP:0000303	239	Mandibular prognathia
HP:0000307	239	Pointed chin
HP:0000308	97	Microretrognathia
HP:0000311	239	Round face
HP:0000316	239	Hypertelorism
HP:0000317	239	Facial myokymia
HP:0000319	239	Smooth philtrum
HP:0000320	42	Bird-like facies
HP:0000321	239	Square face
HP:0000322	239	Short philtrum
HP:0000325	239	Triangular face
HP:0000331	239	Short chin
HP:0000339	239	Pugilistic facies
HP:0000340	75	Sloping forehead
HP:0000341	189	Narrow forehead
HP:0000343	239	Long philtrum
HP:0000348	239	High forehead
HP:0000350	239	Small forehead
HP:0000362	239	Otosclerosis
HP:0000368	70	Low-set, posteriorly rotated ears
HP:0000371	239	Acute otitis media
HP:0000376	42	Incomplete partition of the cochlea type II
HP:0000385	84	Small earlobe
HP:0000389	239	Chronic otitis media
HP:0000394	44	Lop ear
HP:0000395	68	Prominent antihelix
HP:0000399	239	Prelingual sensorineural hearing impairment
HP:0000403	239	Recurrent otitis media
HP:0000410	239	Mixed hearing impairment
HP:0000411	239	Protruding ear
HP:0000414	218	Bulbous nose
HP:0000417	39	Slender nose
HP:0000418	49	Narrow nasal ridge
HP:0000420	239	Short nasal septum
HP:0000426	239	Prominent nasal bridge
HP:0000431	183	Wide nasal bridge
HP:0000434	82	Nasal mucosa telangiectasia
HP:0000437	114	Depressed nasal tip
HP:0000446	126	Narrow nasal bridge
HP:0000448	239	Prominent nose
HP:0000455	168	Broad nasal tip
HP:0000456	53	Bifid nasal tip
HP:0000460	239	Narrow nose
HP:0000463	105	Anteverted nares
HP:0000465	214	Webbed neck
HP:0000466	239	Limited neck range of motion
HP:0000470	239	Short neck
HP:0000471	239	Gastrointestinal angiodysplasia
HP:0000472	239	Long neck
HP:0000475	239	Broad neck
HP:0000482	239	Microcornea
HP:0000484	239	Hyperopic astigmatism
HP:0000485	125	Megalocornea
HP:0000495	239	Recurrent corneal erosions
HP:0000506	239	Telecanthus
HP:0000519	239	Developmental cataract
HP:0000522	190	Alacrima
HP:0000524	80	Conjunctival telangiectasia
HP:0000526	239	Aniridia
HP:0000531	239	Corneal crystals
HP:0000537	223	Epicanthus inversus
HP:0000538	108	Pseudopapilledema
HP:0000542	48	Impaired ocular adduction
HP:0000550	123	Undetectable electroretinogram
HP:0000552	239	Tritanomaly
HP:0000555	239	Leukocoria
HP:0000557	239	Buphthalmos
HP:0000558	239	Rieger anomaly
HP:0000559	239	Corneal scarring
HP:0000563	239	Keratoconus
HP:0000564	239	Lacrimal duct atresia
HP:0000574	179	Thick eyebrow
HP:0000576	239	Centrocecal scotoma
HP:0000581	239	Blepharophimosis
HP:0000585	218	Band keratopathy
HP:0000586	239	Shallow orbits
HP:0000588	228	Optic disc coloboma
HP:0000590	239	Progressive external ophthalmoplegia
HP:0000592	239	Blue sclerae
HP:0000601	171	Hypotelorism
HP:0000603	239	Central scotoma
HP:0000607	239	Periorbital wrinkles
HP:0000612	239	Iris coloboma
HP:0000613	239	Photophobia
HP:0000619	239	Impaired convergence
HP:0000620	239	Dacryocystitis
HP:0000623	239	Supranuclear ophthalmoplegia
HP:0000627	106	Posterior embryotoxon
HP:0000634	71	Impaired ocular abduction
HP:0000635	65	Blue irides
HP:0000636	43	Upper eyelid coloboma
HP:0000637	238	Long palpebral fissure
HP:0000643	239	Blepharospasm
HP:0000646	239	Amblyopia
HP:0000647	99	Sclerocornea
HP:0000650	103	Abnormal amplitude of pattern reversal visual evoked potentials
HP:0000651	239	Diplopia
HP:0000654	83	Decreased light- and dark-adapted electroretinogram amplitude
HP:0000658	113	Eyelid apraxia
HP:0000659	239	Peters anomaly
HP:0000660	68	Lipemia retinalis
HP:0000664	121	Synophrys
HP:0000667	239	Phthisis bulbi
HP:0000668	239	Hypodontia
HP:0000670	239	Carious teeth
HP:0000674	239	Anodontia
HP:0000677	239	Oligodontia
HP:0000678	239	Dental crowding
HP:0000680	239	Delayed eruption of primary teeth
HP:0000694	142	Odontodysplasia
HP:0000695	239	Natal tooth
HP:0000696	239	Delayed eruption of permanent teeth
HP:0000700	239	Periapical bone loss
HP:0000705	239	Amelogenesis imperfecta
HP:0000710	69	Hyperorality
HP:0000712	239	Emotional lability
HP:0000713	239	Agitation
HP:0000716	239	Depression
HP:0000717	239	Autism
HP:0000718	239	Aggressive behavior
HP:0000721	239	Lack of spontaneous play
HP:0000723	239	Restrictive behavior
HP:0000727	239	Frontal lobe dementia
HP:0000732	239	Inflexible adherence to routines or rituals
HP:0000737	239	Irritability
