Id;Phenotype;Def
HP:0000003;Multicystic kidney dysplasia;Multicystic dysplasia of the kidney is characterized by multiple cysts of varying size in the kidney and the absence of a normal pelvicaliceal system. The condition is associated with ureteral or ureteropelvic atresia, and the affected kidney is nonfunctional. [HPO:curators]
HP:0000011;Neurogenic bladder;A type of bladder dysfunction caused by neurologic damage. Neurogenic bladder can be flaccid or spastic. Common manifestatios of neurogenic bladder are overflow incontinence, frequency, urgency, urge incontinence, and retention. [HPO:probinson, PMID:18095004, PMID:22400020]
HP:0000012;Urinary urgency;Urge incontinence is the strong, sudden need to urinate. [HPO:probinson, PMID:12559262]
HP:0000013;Hypoplasia of the uterus;Underdevelopment of the uterus. [HPO:probinson]
HP:0000016;Urinary retention;Inability to completely empty the urinary bladder during the process of urination. [HPO:probinson]
HP:0000017;Nocturia;Abnormally increased production of urine during the night leading to an unusually frequent need to urinate. [HPO:sdoelken]
HP:0000019;Urinary hesitancy;Difficulty in beginning the process of urination. [HPO:probinson]
HP:0000021;Megacystis;Dilatation of the bladder postnatally. [HPO:probinson]
HP:0000023;Inguinal hernia;Protrusion of the contents of the abdominal cavity through the inguinal canal. [HPO:probinson]
HP:0000024;Prostatitis;The presence of inflammation of the prostate. [HPO:probinson]
HP:0000026;Male hypogonadism;Decreased functionality of the male gonad, i.e., of the testis, with reduced spermatogenesis or testosterone synthesis. [HPO:probinson]
HP:0000029;Testicular atrophy;Wasting (atrophy) of the testicle (the male gonad) manifested by a decrease in size and potentially by a loss of fertility. [HPO:probinson]
HP:0000030;Testicular gonadoblastoma;The presence of a gonadoblastoma of the testis. [HPO:probinson]
HP:0000031;Epididymitis;The presence of inflammation of the epididymis. [HPO:probinson]
HP:0000033;Ambiguous genitalia, male;Ambiguous genitalia in an individual with XY genetic gender. [HPO:probinson]
HP:0000039;Epispadias;Epispadias is a urogenital malformation characterized by the failure of the urethral tube to tubularize on the dorsal aspect. Unlike in hypospadias, where the meatus is on the ventral aspect, children with epispadias have a wide-open urethral plate on the dorsum. It is commonly seen as a component in the spectrum of bladder exstrophy-epispadias-complex. Isolated epispadias constitutes less than 10 percent of the total cases of epispadias. [HPO:probinson, PMID:23650202, PMID:33085327]
HP:0000040;Long penis;Penile length more than 2 SD above the mean for age. []
HP:0000041;Chordee;Ventral, lateral, or ventrolateral bowing of the shaft and glans penis of more than 30 degrees. [HPO:probinson, PMID:23650202]
HP:0000042;Absent external genitalia;Lack of external genitalia in a male or female individual. [HPO:probinson]
HP:0000044;Hypogonadotropic hypogonadism;Hypogonadotropic hypogonadism is characterized by reduced function of the gonads (testes in males or ovaries in females) and results from the absence of the gonadal stimulating pituitary hormones: follicle stimulating hormone (FSH) and luteinizing hormone (LH). [HPO:probinson, PMID:23503957]
HP:0000046;Small scrotum;Apparently small scrotum for age. [PMID:23650202]
HP:0000048;Bifid scrotum;Midline indentation or cleft of the scrotum. [HPO:probinson, PMID:23650202]
HP:0000049;Shawl scrotum;Superior margin of the scrotum superior to the base of the penis. [HPO:probinson, PMID:23650202]
HP:0000051;Perineal hypospadias;Hypospadias with location of the urethral meatus in the perineal region. [HPO:probinson, PMID:8097257]
HP:0000052;Urethral atresia, male;Congenital anomaly characterized by closure or failure to develop an opening in the urethra in males. [HPO:probinson]
HP:0000054;Micropenis;Abnormally small penis. At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm. [HPO:probinson, PMID:15102623]
HP:0000059;Hypoplastic labia majora;Undergrowth of the outer labia. [HPO:probinson]
HP:0000060;Clitoral hypoplasia;Developmental hypoplasia of the clitoris. [HPO:probinson]
HP:0000061;Ambiguous genitalia, female;Ambiguous genitalia in an individual with XX genetic gender. [HPO:probinson]
HP:0000063;Fused labia minora;Fusion of the labia minora as a result of labial adhesions resulting in vaginal obstruction. [HPO:curators]
HP:0000064;Hypoplastic labia minora;
HP:0000067;Urethral atresia, female;Congenital anomaly characterized by closure or failure to develop an opening in the urethra in females. [HPO:probinson]
HP:0000070;Ureterocele;A ureterocele is a congenital saccular dilatation of the distal segment of the ureter. [eMedicine:453993]
HP:0000074;Ureteropelvic junction obstruction;Blockage of urine flow from the renal pelvis to the proximal ureter. [Eurenomics:ewuehl]
HP:0000081;Duplicated collecting system;A duplication of the collecting system of the kidney, defined as a kidney with two (instead of, normally, one) pyelocaliceal systems. The pyelocaliceal system is comprised of the renal pelvis and calices. The duplicated renal collecting system can be associated with a single ureter or with double ureters. In the latter case, the two ureters empty separately into the bladder or fuse to form a single ureteral orifice. [HPO:probinson]
HP:0000085;Horseshoe kidney;A connection of the right and left kidney by an isthmus of functioning renal parenchyma or fibrous tissue that crosses the midline. [HPO:probinson]
HP:0000090;Nephronophthisis;Presence of cysts at the corticomedullary junction of the kidney in combination with tubulointerstitial fibrosis. [Eurenomics:fschaefer]
HP:0000097;Focal segmental glomerulosclerosis;Segmental accumulation of scar tissue in individual (but not all) glomeruli. [Eurenomics:fschaefer, PMID:16164633]
HP:0000103;Polyuria;An increased rate of urine production. [HPO:probinson]
HP:0000105;Enlarged kidney;An abnormal increase in the size of the kidney. [HPO:probinson]
HP:0000108;Renal corticomedullary cysts;The presence of multiple cysts at the border between the renal cortex and medulla. [HPO:probinson]
HP:0000111;Renal juxtaglomerular cell hypertrophy/hyperplasia;Increased number and size of the juxtaglomerular cells. [Eurenomics:ewuehl]
HP:0000112;Nephropathy;A nonspecific term referring to disease or damage of the kidneys. [HPO:curators]
HP:0000113;Polycystic kidney dysplasia;The presence of multiple cysts in both kidneys. [HPO:probinson]
HP:0000117;Renal phosphate wasting;High urine phosphate in the presence of hypophosphatemia. [HPO:probinson]
HP:0000122;Unilateral renal agenesis;A unilateral form of agenesis of the kidney. [HPO:probinson]
HP:0000125;Pelvic kidney;A developmental defect in which a kidney is located in an abnormal anatomic position within the pelvis. [HPO:probinson]
HP:0000126;Hydronephrosis;Severe distention of the kidney with dilation of the renal pelvis and calices. [HPO:probinson]
HP:0000127;Renal salt wasting;A high concentration of one or more electrolytes in the urine in the presence of low serum concentrations of the electrolyte(s). [Eurenomics:fschaefer]
HP:0000128;Renal potassium wasting;High urine potassium in the presence of hypokalemia. [HPO:probinson]
HP:0000131;Uterine leiomyoma;The presence of a leiomyoma of the uterus. [HPO:probinson]
HP:0000132;Menorrhagia;Prolonged and excessive menses at regular intervals in excess of 80 mL or lasting longer than 7 days. [HPO:probinson, PMID:22594864]
HP:0000134;Female hypogonadism;Decreased functionality of the female gonads, i.e., of the ovary. [HPO:probinson]
HP:0000136;Bifid uterus;The presence of a bifid uterus. [HPO:probinson]
HP:0000139;Uterine prolapse;The presence of prolapse of the uterus. [HPO:probinson]
HP:0000143;Rectovaginal fistula;The presence of a fistula between the vagina and the rectum. [HPO:probinson]
HP:0000145;Transverse vaginal septum;
HP:0000148;Vaginal atresia;Congenital occlusion of the vagina or adhesion of the walls of the vagina causing occlusion. [HPO:probinson]
HP:0000149;Ovarian gonadoblastoma;The presence of a gonadoblastoma of the ovary. [eMedicine:986581, HPO:probinson]
HP:0000151;Aplasia of the uterus;Aplasia of the uterus. [HPO:probinson]
HP:0000154;Wide mouth;Distance between the oral commissures more than 2 SD above the mean. Alternatively, an apparently increased width of the oral aperture (subjective). [PMID:19125428]
HP:0000155;Oral ulcer;Erosion of the mucous mebrane of the mouth with local excavation of the surface, resulting from the sloughing of inflammatory necrotic tissue. [HPO:probinson]
HP:0000160;Narrow mouth;Distance between the commissures of the mouth more than 2 SD below the mean. Alternatively, an apparently decreased width of the oral aperture (subjective). [PMID:19125428]
HP:0000162;Glossoptosis;Posterior displacement of the tongue into the pharynx, i.e., a tongue that is mislocalised posteriorly. [HPO:probinson, PMID:19125428]
HP:0000166;Severe periodontitis;A severe form of periodontitis. [HPO:probinson]
HP:0000169;Gingival fibromatosis;The presence of fibrosis of the gingiva. [HPO:probinson]
HP:0000171;Microglossia;Decreased length and width of the tongue. [PMID:19125428]
HP:0000176;Submucous cleft hard palate;Hard-palate submucous clefts are characterized by bony defects in the midline of the bony palate that are covered by the mucous membrane of the roof of the mouth. It may be possible to detect a submucous cleft hard palate upon palpation as a notch in the bony palate. [HPO:probinson, PMID:19779505]
HP:0000179;Thick lower lip vermilion;Increased thickness of the lower lip, leading to a prominent appearance of the lower lip. The height of the vermilion of the lower lip in the midline is more than 2 SD above the mean. Alternatively, an apparently increased height of the vermilion of the lower lip in the frontal view (subjective). [HPO:curators, PMID:19125428]
HP:0000180;Lobulated tongue;Multiple indentations and/or elevations on the edge and/or surface of the tongue producing an irregular surface contour. [PMID:19125428]
HP:0000183;Difficulty in tongue movements;
HP:0000188;Short upper lip;Decreased width of the upper lip. [HPO:probinson]
HP:0000191;Accessory oral frenulum;Extra fold of tissue extending from the alveolar ridge to the inner surface of the upper or lower lip. [PMID:19125428]
HP:0000193;Bifid uvula;Uvula separated into two parts most easily seen at the tip. [PMID:19125428]
HP:0000196;Lower lip pit;Depression located on the vermilion of the lower lip, usually paramedian. [HPO:sdoelken, PMID:19125428]
HP:0000198;Absence of Stensen duct;
HP:0000199;Tongue nodules;
HP:0000200;Short lingual frenulum;The presence of an abnormally short lingual frenulum. [HPO:probinson]
HP:0000201;Pierre-Robin sequence;Pierre Robin malformation is a sequence of developmental malformations characterized by micrognathia (mandibular hypoplasia), glossoptosis and cleft palate. [HPO:probinson]
HP:0000206;Glossitis;Inflammation of the tongue. [HPO:sdoelken]
HP:0000211;Trismus;Limitation in the ability to open the mouth. [HPO:curators]
HP:0000212;Gingival overgrowth;Hyperplasia of the gingiva (that is, a thickening of the soft tissue overlying the alveolar ridge. The degree of thickening ranges from involvement of the interdental papillae alone to gingival overgrowth covering the entire tooth crown. [PMID:19125428]
HP:0000214;Lip telangiectasia;Telangiectasia (that is, the presence of small dilated superficial blood vessels) of the lips. [HPO:probinson]
HP:0000215;Thick upper lip vermilion;Height of the vermilion of the upper lip in the midline more than 2 SD above the mean. Alternatively, an apparently increased height of the vermilion of the upper lip in the frontal view (subjective). [PMID:19125428]
HP:0000216;Broad secondary alveolar ridge;
HP:0000217;Xerostomia;Dryness of the mouth due to salivary gland dysfunction. [HPO:probinson]
HP:0000219;Thin upper lip vermilion;Height of the vermilion of the upper lip in the midline more than 2 SD below the mean. Alternatively, an apparently reduced height of the vermilion of the upper lip in the frontal view (subjective). [PMID:19125428]
HP:0000220;Velopharyngeal insufficiency;Inability of velopharyngeal sphincter to sufficiently separate the nasal cavity from the oral cavity during speech. [DDD:jhurst]
HP:0000222;Gingival hyperkeratosis;Hyperkeratosis of the gingiva. [HPO:ibailleulforestier]
HP:0000224;Hypogeusia;A decreased ability to perceive flavor. []
HP:0000225;Gingival bleeding;Hemorrhage affecting the gingiva. [HPO:ibailleulforestier]
HP:0000227;Tongue telangiectasia;Telangiectasia (that is, the presence of small dilated superficial blood vessels) of the tongue. [HPO:probinson]
HP:0000230;Gingivitis;Inflammation of the gingiva. [HPO:probinson]
HP:0000232;Everted lower lip vermilion;An abnormal configuration of the lower lip such that it is turned outward i.e., everted, with the Inner aspect of the lower lip vermilion (normally opposing the teeth) being visible in a frontal view. [PMID:19125428]
HP:0000237;Small anterior fontanelle;Abnormally decreased size of the anterior fontanelle with respect to age-dependent norms. [HPO:probinson]
HP:0000242;Parietal bossing;Parietal bossing is a marked prominence in the parietal region. [HPO:probinson]
HP:0000243;Trigonocephaly;Wedge-shaped, or triangular head, with the apex of the triangle at the midline of the forehead and the base of the triangle at the occiput. [PMID:19125436]
HP:0000244;Brachyturricephaly;Abnormal vertical height of the skull and a shortening of its anterior-posterior length, frequently combined with malformations of the occipital region. [PMID:8460563]
HP:0000250;Dense calvaria;An abnormal increase of density of the bones making up the calvaria. [HPO:curators]
HP:0000253;Progressive microcephaly;Progressive microcephaly is diagnosed when the head circumference falls progressively behind age- and gender-dependent norms. [HPO:probinson]
HP:0000255;Acute sinusitis;An acute form of sinusitis. [HPO:probinson]
HP:0000260;Wide anterior fontanel;Enlargement of the anterior fontanelle with respect to age-dependent norms. [HPO:curators]
HP:0000263;Oxycephaly;Oxycephaly (from Greek oxus, sharp, and kephalos, head) refers to a conical or pointed shape of the skull. [HPO:curators]
HP:0000265;Mastoiditis;
HP:0000269;Prominent occiput;Increased convexity of the occiput (posterior part of the skull). [PMID:19125436]
HP:0000272;Malar flattening;Underdevelopment of the malar prominence of the jugal bone (zygomatic bone in mammals), appreciated in profile, frontal view, and/or by palpation. [HPO:probinson, ORCID:0000-0001-5889-4463, PMID:19125436]
HP:0000273;Facial grimacing;
HP:0000275;Narrow face;"Bizygomatic (upper face) and bigonial (lower face) width are both more than 2 standard deviations below the mean (objective); or, an apparent reduction in the width of the upper and lower face (subjective). [PMID:19125436]"
HP:0000276;Long face;"Facial height (length) is more than 2 standard deviations above the mean (objective); or, an apparent increase in the height (length) of the face (subjective). [PMID:19125436]"
HP:0000283;Broad face;"Bizygomatic (upper face) and bigonial (lower face) width greater than 2 standard deviations above the mean (objective); or an apparent increase in the width of the face (subjective). [PMID:19125436]"
HP:0000287;Increased facial adipose tissue;An increased amount of subcutaneous fat tissue in the face. [HPO:probinson]
HP:0000289;Broad philtrum;Distance between the philtral ridges, measured just above the vermilion border, more than 2 standard deviations above the mean, or alternatively, an apparently increased distance between the ridges of the philtrum. [PMID:19152422]
HP:0000293;Full cheeks;Increased prominence or roundness of soft tissues between zygomata and mandible. [DDD:awilkie]
HP:0000294;Low anterior hairline;Distance between the hairline (trichion) and the glabella (the most prominent point on the frontal bone above the root of the nose), in the midline, more than two SD below the mean. Alternatively, an apparently decreased distance between the hairline and the glabella. [PMID:19125436]
