id	name	def	depth	isLeaf	ic	ic_gene	ic_omim
HP:0033794	Acral overgrowth	"""Excessive growth of hands and feet (predominantly due to soft tissue swelling). Typical manifestations include shoe size increase, foot enlargment, glove tightness, and hand enlargement."" [PMID:27477558, PMID:27812777, PMID:30853479]"	2	True	6.887552571664617	6.887552571664617	7.417460275079424
HP:0007289	Limb fasciculations	"""Fasciculations affecting the musculature of the arms and legs."" [HPO:curators]"	2	True	6.551080335043404	6.551080335043404	8.33375100695358
HP:0030166	Night sweats	"""Occurrence of excessive sweating during sleep."" [HPO:probinson, PMID:23136329]"	2	True	5.857933154483459	5.857933154483459	7.928285898845416
HP:0100247	Recurrent singultus	"""A contraction of the diaphragm that repeats several times per minute. In humans, the abrupt rush of air into the lungs causes the epiglottis to close, creating a hic sound. Also known as synchronous diaphragmatic flutter (SDF), or singultus, from the Latin singult, the act of catching one's breath while sobbing. The hiccup is an involuntary action involving a reflex arc."" [HPO:sdoelken]"	2	True	7.398378195430609	7.398378195430609	9.026898187513526
HP:0033834	Malaise	"""A feeling of general discomfort, weakness, or lack of health."" []"	2	True	8.496990484098719	8.496990484098719	9.026898187513526
HP:0025406	Asthenia	"""A state characterized by a feeling of weakness and loss of strength leading to a generalized weakness of the body."" []"	2	True	6.299765906762499	6.299765906762499	7.23513871828547
HP:0100758	Gangrene	"""A serious and potentially life-threatening condition that arises when a considerable mass of body tissue dies (necrosis)."" [ISBN:9780781770873]"	2	True	4.471638793363569	4.471638793363569	8.33375100695358
HP:0031352	Chest tightness	"""An unpleasant sensation of tightness or pressure in the chest."" [ORCID:0000-0001-5208-3432, PMID:16990972, PMID:18405952]"	2	True	8.496990484098719	8.496990484098719	9.026898187513526
HP:0001686	Loss of voice		2	True	6.705231014870663	6.705231014870663	7.640603826393634
HP:0009088	Speech articulation difficulties	"""Impairment in the physical production of speech sounds."" [HPO:probinson]"	2	True	5.0630032796135716	5.0630032796135716	8.33375100695358
HP:0100271	Hyponasal speech	"""Hyponasal speech is when there is an abnormally reduced nasal airflow during speech often in a setting of nasal obstruction or congestion."" [HPO:sdoelken]"	2	True	7.803843303538772	7.803843303538772	9.026898187513526
HP:0010300	Abnormally low-pitched voice	"""An abnormally low-pitched voice."" [HPO:curators]"	2	True	5.9320411266371815	5.9320411266371815	8.33375100695358
HP:0001611	Nasal speech	"""A type of speech characterized by the presence of an abnormally increased nasal airflow during speech."" [HPO:sdoelken]"	2	True	3.8622614958690824	3.8622614958690824	5.075654468932098
HP:0001621	Weak voice	"""Reduced intensity (volume) of speech."" [HPO:probinson]"	2	True	5.238893946077236	5.238893946077236	6.629002914715154
HP:0001620	High pitched voice	"""An abnormal increase in the pitch (frequency) of the voice."" [HPO:probinson]"	2	True	4.712800850180457	4.712800850180457	5.289228569230157
HP:0001978	Extramedullary hematopoiesis	"""The process of hematopoiesis occurring outside of the bone marrow (in the liver, thymus, and spleen) in the postnatal organisms."" [HPO:probinson]"	2	True	5.606618726202553	5.606618726202553	7.417460275079424
HP:0031169	Postterm pregnancy	"""A pregnancy that extends to 42 weeks of gestation or beyond."" [PMID:24753906]"	2	True	6.887552571664617	6.887552571664617	0.0
HP:0032479	Preimplantation lethality	"""It is estimated that about 40-70 percent of human embryos produced in vitro fertilization (IVF) and intracytoplasmic sperm injection (ICSI) are viable embryos, whereas others arrest at different early stages of development. The phenotype of preimplantation lethality is inferred if IVF and ICSI cycles fail because all of an individual's embryos are arrested at early stages of development."" [PMID:27545678]"	2	True	8.496990484098719	8.496990484098719	9.026898187513526
HP:0012155	Decreased corneal sensation	"""Reduced ability of the cornea to respond to stimulation."" [HPO:probinson]"	3	True	6.887552571664617	6.887552571664617	7.928285898845416
HP:0025401	Staring gaze	"""An abnormality in which the eyes are held permanently wide open."" [PMID:22675666]"	3	True	5.552551504932278	5.552551504932278	7.928285898845416
HP:0031590	Asthenopia	"""Eye strain, i.e., a feeling of fatigue or discomfort of the eyes related to 'overuse' of the eyes in activities such as reading or working at the computer and often accompanied by lacrimation or headache."" []"	3	True	8.496990484098719	8.496990484098719	9.026898187513526
HP:0000667	Phthisis bulbi	"""Atrophy of the eyeball with blindness and decreased intraocular pressure due to end-stage intraocular disease."" [HPO:probinson]"	3	True	5.724401761858937	5.724401761858937	6.9474566458336895
HP:0031087	Absent pubertal growth spurt	"""The abrupt and transient increase in the annual growth rate normally observed in adolescent individuals does not occur."" []"	3	True	7.398378195430609	7.398378195430609	9.026898187513526
HP:0009028	Generalized weakness of limb muscles	"""Generalized weakness of the muscles of the arms and legs."" [HPO:curators]"	3	True	6.887552571664617	6.887552571664617	0.0
HP:0100553	Hemihypertrophy of lower limb	"""Overgrowth of only one leg."" [HPO:probinson]"	3	True	8.496990484098719	8.496990484098719	0.0
HP:0008959	Distal upper limb muscle weakness	"""Reduced strength of the distal musculature of the arms."" [HPO:probinson]"	3	True	4.913471545642608	4.913471545642608	6.387840857898267
HP:0006463	Rickets of the lower limbs		3	True	7.398378195430609	7.398378195430609	9.026898187513526
HP:0010497	Sirenomelia	"""A developmental defect in which the legs are fused together."" [HPO:probinson]"	3	True	6.099095211300347	6.099095211300347	0.0
HP:0001868	Autoamputation of foot	"""Spontaneous detachment of a foot from the body."" [HPO:probinson]"	3	True	7.803843303538772	7.803843303538772	8.33375100695358
HP:0033666	Diminished physical functioning	"""A reduction in the ability to perform activities of daily living as compared to previous abilities because of functional deficits due to illness. The 36-item Short Form (SF-36) health survey questionnaire is one of many methods used to measure patients' perceptions of diminished physical functioning."" []"	3	True	8.496990484098719	8.496990484098719	9.026898187513526
HP:0025145	Rigors	"""Severe chills with violent shivering. A rigor is an episode of shaking or exaggerated shivering which can occur with a high fever."" []"	3	True	7.803843303538772	7.803843303538772	0.0
HP:0012532	Chronic pain	"""Persistent pain, usually defined as pain that has lasted longer than 3 to 6 months."" [HPO:probinson, PMID:1875958]"	3	True	6.705231014870663	6.705231014870663	7.928285898845416
HP:0033050	Pharyngalgia	"""An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) and perceived to originate in the throat."" []"	3	True	7.803843303538772	7.803843303538772	8.33375100695358
HP:0030838	Hip pain	"""An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the hip."" [UToronto:chum]"	3	True	6.099095211300347	6.099095211300347	7.080988038458211
HP:0032147	Erythromelalgia	"""Recurrent episodes of redness, burning pain, and warmth of the extremities following exposure to heat or exercise with symptoms predominantly involving the feet."" [ORCID:0000-0002-1089-1543, PMID:26419464]"	3	True	8.496990484098719	8.496990484098719	9.026898187513526
HP:0002653	Bone pain	"""An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to bone."" []"	3	True	4.153185062245034	4.153185062245034	5.768801649492043
HP:0030157	Flank pain	"""An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) and perceived to originate in the flank."" []"	3	True	6.705231014870663	6.705231014870663	9.026898187513526
HP:0012533	Allodynia	"""Pain due to a stimulus that does not normally provoke pain."" [HPO:probinson]"	3	True	7.803843303538772	7.803843303538772	9.026898187513526
HP:0031520	Groin pain	"""An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to the groin region."" []"	3	True	7.803843303538772	7.803843303538772	9.026898187513526
HP:0032510	Tendon pain	"""An unpleasant sensation characterized by physical discomfort (such as pricking, throbbing, or aching) localized to a tendon."" []"	3	True	7.803843303538772	7.803843303538772	0.0
HP:0410019	Epigastric pain	"""Pain that is localized to the region of the upper abdomen immediately below the ribs."" [https://www.healthgrades.com/symptoms/epigastric-pain, ORCID:0000-0001-5208-3432]"	3	True	6.299765906762499	6.299765906762499	7.928285898845416
