BERTNAME,train_spearman,test_spearman, train_pearson, test_pearson, train_MSE, test_MSE, time,train_spearman_step, test_spearman_step, train_pearson_step, test_pearson_step, train_MSE_step, test_MSE_step
grid/fine-tuned-bio-bert-0-MARGIN=0.3743-lr=1e-06-wd=0-wsf=1,0.1274412736133286,0.1569424076289653,0.3422709675435158,0.3962423065981671,0.0198244126163282,0.0180293141259369,5704.238064527512,12048.0,10542.0,11295.0,10542.0,12550.0,12550.0
grid/fine-tuned-bio-bert-1-MARGIN=0.3743-lr=1e-06-wd=0.005-wsf=1,0.1265475679707673,0.1526148256181611,0.342090301029601,0.3942031521075278,0.0207603246372218,0.0186673017743603,5701.6451733112335,10793.0,10040.0,10542.0,12550.0,12299.0,12550.0
grid/fine-tuned-bio-bert-2-MARGIN=0.3743-lr=5e-06-wd=0-wsf=1,0.1545565679383711,0.2118843649972323,0.3787919879848394,0.4562254423352075,0.017761240407102,0.0161706451285176,5687.109350442886,4267.0,3012.0,5020.0,5522.0,5522.0,8032.0
grid/fine-tuned-bio-bert-3-MARGIN=0.3743-lr=5e-06-wd=0.005-wsf=1,0.1559640719599549,0.1926406990186938,0.375875940256433,0.4365189535031949,0.0160465499419345,0.0150547910789426,5693.799106359482,2510.0,8785.0,12550.0,2761.0,12550.0,10291.0
grid/fine-tuned-bio-bert-4-MARGIN=0.6829-lr=1e-06-wd=0-wsf=1,0.1414036787009107,0.1680591142672099,0.3640507508803149,0.4221960605446896,0.0198641970157131,0.018547479771193,5726.088486909866,12550.0,10542.0,12550.0,12550.0,10542.0,10542.0
grid/fine-tuned-bio-bert-5-MARGIN=0.6829-lr=1e-06-wd=0.005-wsf=1,0.1427181416978027,0.1741066699769561,0.3619579058480122,0.4236377172196341,0.0183065517317582,0.0169257476452335,5713.523707866669,11044.0,9538.0,10542.0,10291.0,12550.0,11044.0
grid/fine-tuned-bio-bert-6-MARGIN=0.6829-lr=5e-06-wd=0-wsf=1,0.2080458015240305,0.2478827917884195,0.4064974590523595,0.4847102238811802,0.01633588004849,0.0159980989538167,5705.310432910919,11295.0,5271.0,10793.0,5522.0,3514.0,2761.0
grid/fine-tuned-bio-bert-7-MARGIN=0.6829-lr=5e-06-wd=0.005-wsf=1,0.1664713109226161,0.2255100258581931,0.3877719764173961,0.4728045085791258,0.0173567449038327,0.0157767428604,5703.779024362564,2259.0,4769.0,4016.0,3765.0,9538.0,9538.0
grid/fine-tuned-bio-bert-8-MARGIN=0.8974-lr=1e-06-wd=0-wsf=1,0.157641398595244,0.197828667178843,0.378874854800396,0.4430702886167079,0.0190258351681739,0.0177245452571112,5731.8291075229645,11044.0,10793.0,11546.0,11295.0,12550.0,10291.0
grid/fine-tuned-bio-bert-9-MARGIN=0.8974-lr=1e-06-wd=0.005-wsf=1,0.156117532746345,0.187124080042031,0.3680515894953018,0.4362098717484671,0.0190064585757272,0.0179567364353956,5732.090664863586,10040.0,12299.0,11797.0,12550.0,11295.0,11295.0
grid/fine-tuned-bio-bert-10-MARGIN=0.8974-lr=5e-06-wd=0-wsf=1,0.2010597830768656,0.2246109166278438,0.4267974537363284,0.4974391338581863,0.0191957988476456,0.0182903893579478,5737.473086118698,6024.0,2761.0,3012.0,9789.0,3765.0,3765.0
grid/fine-tuned-bio-bert-11-MARGIN=0.8974-lr=5e-06-wd=0.005-wsf=1,0.2091959052621071,0.2316823792909345,0.4322118938911187,0.4918709313487411,0.0176880713300968,0.0179545893523626,5716.724640369415,12550.0,6526.0,11797.0,5522.0,8534.0,8534.0
