depth	count	leafs	subtree	chosen	out	subtreePercent	mean	var	trueCount	zeros	notZeros	meanGTZ	varGTZ	trueMean	trueVar	fullCover	sample	sampleCover	sampleCoverPercent
0	1	0	1	1	16536	0.006047046018020197	0.00036046861309514645		1.0	0.0	1.0	0.00036046861309514645		0.00036046861309514645		5893	1	5893	100.0
1	23	0	24	23	16513	0.14512910443248472	1.946496335667164	1.926964135014481	23.0	0.0	23.0	1.946496335667164	1.926964135014481	1.946496335667164	1.926964135014481	5893	23	5893	100.0
2	155	28	179	155	16358	1.0824212372256152	4.277980203693624	7.601742421876808	139.0	16.0	139.0	4.770409579658358	6.116991659742075	4.770409579658358	6.116991659742075	5893	139	5893	100.0
3	800	318	979	828	15558	5.920058051641773	4.854322074002118	10.465716043920105	639.0	178.0	622.0	6.243501059809798	4.77824371442075	6.285696383589417	4.754416825141791	5893	639	5893	100.0
4	2157	1198	3136	2503	13401	18.96353631251134	4.67302033323746	11.746655329278788	1725.0	635.0	1522.0	6.622670735080947	3.730367035841659	6.78834312318448	3.6652281261020523	5893	1725	5893	100.0
5	3789	2502	6925	5333	9612	41.87579367478986	4.780325419950128	12.93517491468172	3441.0	1228.0	2561.0	7.072492392108956	2.922350607393864	7.28757591829278	2.6766943752887586	5893	2000	4037	68.50500593924995
6	3696	2569	10621	7742	5916	64.22567575739251	4.803738018417919	14.0584865372476	4721.0	1296.0	2400.0	7.397756548363596	2.4553170469248577	7.625331658490143	2.041079437935734	5893	2000	2677	45.426777532665874
7	2886	1985	13507	9501	3030	81.6774505653988	4.398161334350028	15.51935038361826	5486.0	1226.0	1660.0	7.646441934297698	2.135380426173268	7.829782741531307	1.6625659745119887	5893	2000	2187	37.11182759205837
8	1870	1535	15377	10470	1160	92.98542661909657	3.1395270991279687	15.00670589176702	5713.0	1100.0	770.0	7.624565812167924	2.231793532754395	7.9013192437096205	1.5215121939181024	5893	2000	2114	35.873069743763786
9	678	543	16055	10813	482	97.08532381931427	3.830560789609985	15.806303038433171	5844.0	339.0	339.0	7.66112157921997	2.226154716493394	7.934331544409973	1.4446144091627244	5893	2000	2034	34.51552689631767
10	334	277	16389	11012	148	99.10503718933302	3.4536106107083304	15.30431985676758	5894.0	181.0	153.0	7.539254535794655	2.523183945688911	7.94664356276839	1.4252672348906712	5893	2000	2000	33.93857118615306
11	106	95	16495	11061	42	99.74602406724316	2.6570305238105325	14.711802363232735	5896.0	71.0	35.0	8.047006729254754	0.7846508908469	7.952516642309717	1.412389888811457	5893	2000	2000	33.93857118615306
12	27	20	16522	11077	15	99.9092943097297	2.097463294682839	13.222746746759437	5897.0	20.0	7.0	8.090215565205233	0.7354685889917376	7.953459312098321	1.41184539542463	5893	2000	2000	33.93857118615306
13	13	12	16535	11083	2	99.98790590796396	0.0	0.0	5893.0	13.0	0.0			7.95349046453559	1.4122694313660356	5893	2000	2000	33.93857118615306
14	2	2	16537	11084	0	100.0	0.0	0.0	5893.0	2.0	0.0			7.95349046453559	1.4122694313660356	5893	2000	2000	33.93857118615306
