depth	count	leafs	subtree	chosen	out	subtreePercent	mean	var	trueCount	zeros	notZeros	meanGTZ	varGTZ	trueMean	trueVar	fullCover	sample	sampleCover	sampleCoverPercent
0	1	0	1	1	16536	0.006047046018020197	0.0008166599065559779		1.0	0.0	1.0	0.0008166599065559779		0.0008166599065559779		6106	1	6106	100.0
1	23	0	24	23	16513	0.14512910443248472	1.1775103132641087	0.9205969125256354	23.0	0.0	23.0	1.1775103132641087	0.9205969125256354	1.1775103132641087	0.9205969125256354	6106	23	6106	100.0
2	155	28	179	155	16358	1.0824212372256152	3.1863596269607615	5.403676207896742	138.0	17.0	138.0	3.5788821897023047	4.659159407259273	3.5788821897023047	4.659159407259273	6106	138	6106	100.0
3	800	318	979	828	15558	5.920058051641773	4.36846122248521	8.009591181346682	680.0	138.0	662.0	5.279107217504785	4.867119486493826	5.3081449186939205	4.819274401025178	6106	680	6106	100.0
4	2157	1198	3136	2503	13401	18.96353631251134	4.306912932888519	9.162555655916076	1846.0	535.0	1622.0	5.7275038201236335	4.04513556228474	5.87612360490593	3.9573354423686347	6106	1846	6106	100.0
5	3789	2502	6925	5333	9612	41.87579367478986	4.230783558541433	10.081807727296326	3610.0	1158.0	2631.0	6.092907222848154	3.170809140652229	6.336812125750459	2.9972694499750867	6106	2000	3831	62.74156567310841
6	3696	2569	10621	7742	5916	64.22567575739251	4.321173851635077	11.109246335451811	4942.0	1227.0	2469.0	6.4686344899324615	2.735593844938379	6.688773191729375	2.3877200420611584	6106	2000	2653	43.44906649197511
7	2886	1985	13507	9501	3030	81.6774505653988	3.9205409761575427	12.640565962730385	5688.0	1217.0	1669.0	6.77931770952107	2.4711542440024417	6.905435594016414	2.0559295251989695	6106	2000	2156	35.309531608254176
8	1870	1535	15377	10470	1160	92.98542661909657	2.8902837822997363	12.384680276045414	5916.0	1077.0	793.0	6.815675501766086	2.43799225682763	6.978093466598968	1.9207818245278965	6106	2000	2152	35.244022273173925
9	678	543	16055	10813	482	97.08532381931427	3.42800993916492	12.455999856243334	6049.0	330.0	348.0	6.678709019407517	2.528723936315117	7.003977108613174	1.859948987140244	6106	2000	2033	33.29511955453653
10	334	277	16389	11012	148	99.10503718933302	3.2475017385811635	12.554429215216656	6107.0	172.0	162.0	6.695466547445113	2.737491783077411	7.0214524048613844	1.8362413373679678	6106	2000	2006	32.85293154274484
11	106	95	16495	11061	42	99.74602406724316	2.298786171399705	11.704754510686216	6109.0	72.0	34.0	7.166803946128491	1.2970556878350086	7.028558777630759	1.8252225731163003	6106	2000	1998	32.72191287258434
12	27	20	16522	11077	15	99.9092943097297	1.6130966559407964	9.726571004982695	6109.0	21.0	6.0	7.2589349517335835	1.39884170131053	7.02965474262108	1.8245083542015166	6106	2000	2000	32.754667540124466
13	13	12	16535	11083	2	99.98790590796396	0.0	0.0	6106.0	13.0	0.0			7.02979052732341	1.8246047957475515	6106	2000	2000	32.754667540124466
14	2	2	16537	11084	0	100.0	0.0	0.0	6106.0	2.0	0.0			7.02979052732341	1.8246047957475515	6106	2000	2000	32.754667540124466
