,0
HP:0000118 | Phenotypic abnormality,1
HP:0001626 | Abnormality of the cardiovascular system,1
HP:0002086 | Abnormality of the respiratory system,1
HP:0001507 | Growth abnormality,1
HP:0001871 | Abnormality of blood and blood-forming tissues,1
HP:0045027 | Abnormality of the thoracic cavity,1
HP:0002715 | Abnormality of the immune system,1
HP:0001939 | Abnormality of metabolism/homeostasis,1
HP:0025031 | Abnormality of the digestive system,1
HP:0001197 | Abnormality of prenatal development or birth,1
HP:0025354 | Abnormal cellular phenotype,1
HP:0000769 | Abnormality of the breast,1
HP:0000598 | Abnormality of the ear,1
HP:0033127 | Abnormality of the musculoskeletal system,1
HP:0000152 | Abnormality of head or neck,1
HP:0001608 | Abnormality of the voice,1
HP:0025142 | Constitutional symptom,1
HP:0000478 | Abnormality of the eye,1
HP:0000707 | Abnormality of the nervous system,1
HP:0040064 | Abnormality of limbs,1
HP:0001574 | Abnormality of the integument,1
HP:0000119 | Abnormality of the genitourinary system,1
HP:0000818 | Abnormality of the endocrine system,1
HP:0002664 | Neoplasm,1
HP:0011025 | Abnormal cardiovascular system physiology,1
HP:0030680 | Abnormality of cardiovascular system morphology,1
HP:0002597 | Abnormality of the vasculature,1
HP:0500015 | Abnormal cardiac test,1
HP:0100606 | Neoplasm of the respiratory system,2
HP:0002795 | Abnormal respiratory system physiology,1
HP:0012252 | Abnormal respiratory system morphology,1
HP:0033795 | Growth without growth hormone,1
HP:0004323 | Abnormality of body weight,1
HP:0025521 | Increased body fat percentage,1
HP:0030853 | Heterotaxy,1
HP:0001510 | Growth delay,1
HP:0100555 | Asymmetric growth,1
HP:0033794 | Acral overgrowth,1
HP:0041079 | Decreased body fat percentage,1
HP:0000002 | Abnormality of body height,1
HP:0001881 | Abnormal leukocyte morphology,2
HP:0001892 | Abnormal bleeding,1
HP:0005561 | Abnormality of bone marrow cell morphology,1
HP:0001977 | Abnormal thrombosis,1
HP:0020054 | Abnormal erythrocyte physiology,1
HP:0001877 | Abnormal erythrocyte morphology,1
HP:0033796 | Abnormal leukocyte physiology,2
HP:0001928 | Abnormality of coagulation,1
HP:0020047 | Abnormal myeloid cell morphology,1
HP:0004377 | Hematological neoplasm,2
HP:0001978 | Extramedullary hematopoiesis,1
HP:0001872 | Abnormality of thrombocytes,1
HP:0045026 | Abnormal mediastinum morphology,1
HP:0100763 | Abnormality of the lymphatic system,2
HP:0010978 | Abnormality of immune system physiology,1
HP:0032251 | Abnormal immune system morphology,1
HP:0003110 | Abnormality of urine homeostasis,2
HP:0033331 | Acute phase response,1
HP:0031863 | Bloodstream infectious agent,1
HP:0025454 | Abnormal CSF metabolite concentration,2
HP:0032245 | Abnormal metabolism,1
HP:0001946 | Ketosis,1
HP:0012337 | Abnormal homeostasis,1
HP:0011034 | Amyloidosis,1
HP:0012379 | Abnormal enzyme/coenzyme activity,1
HP:0031838 | Presence of xenobiotic,1
HP:0033012 | Abnormal salivary metabolite concentration,1
HP:0032243 | Abnormal tissue metabolite concentration,1
HP:0011017 | Abnormal cellular physiology,2
HP:0025456 | Abnormal CSF protein concentration,2
HP:0032180 | Abnormal circulating metabolite concentration,1
HP:0020169 | Abnormal drug response,1
HP:0025021 | Abnormal erythrocyte sedimentation rate,1
HP:0031685 | Abnormal stool composition,2
HP:0025032 | Abnormality of digestive system physiology,1
HP:0011024 | Abnormality of the gastrointestinal tract,1
HP:0025033 | Abnormality of digestive system morphology,1
HP:0004298 | Abnormality of the abdominal wall,1
HP:0001438 | Abnormal abdomen morphology,1
HP:0002012 | Abnormality of the abdominal organs,1
HP:0031169 | Postterm pregnancy,1
HP:0001622 | Premature birth,1
HP:0002686 | Prenatal maternal abnormality,1
HP:0033334 | Abnormal embryonic development,1
HP:0001194 | Abnormalities of placenta or umbilical cord,1
HP:0030917 | Low APGAR score,1
HP:0034057 | Fetal anomaly,1
HP:0001787 | Abnormal delivery,1
HP:0032479 | Preimplantation lethality,1
HP:0001560 | Abnormality of the amniotic fluid,1
HP:0025461 | Abnormal cell morphology,1
HP:0031550 | Abnormal flow cytometry test result,1
HP:0031093 | Abnormal breast morphology,1
HP:0031094 | Abnormal breast physiology,1
HP:0031703 | Abnormal ear morphology,1
HP:0031704 | Abnormal ear physiology,1
HP:0003549 | Abnormality of connective tissue,1
HP:0000924 | Abnormality of the skeletal system,1
HP:0003011 | Abnormality of the musculature,1
HP:0000234 | Abnormality of the head,1
HP:0000464 | Abnormality of the neck,1
HP:0031434 | Abnormal speech prosody,1
HP:0001686 | Loss of voice,1
HP:0031801 | Vocal cord dysfunction,1
HP:0001621 | Weak voice,1
HP:0001620 | High pitched voice,1
HP:0009088 | Speech articulation difficulties,1
HP:0001611 | Nasal speech,1
HP:0010300 | Abnormally low-pitched voice,1
HP:0100271 | Hyponasal speech,1
HP:0001618 | Dysphonia,2
HP:0025429 | Abnormal cry,1
HP:0001609 | Hoarse voice,1
HP:0031217 | Hot flashes,1
HP:0033834 | Malaise,1
HP:0012378 | Fatigue,1
HP:0025143 | Chills,1
HP:0100247 | Recurrent singultus,1
HP:0033675 | Frailty,1
HP:0001699 | Sudden death,1
HP:0031352 | Chest tightness,1
HP:0500001 | Body odor,1
HP:0100758 | Gangrene,1
HP:0030166 | Night sweats,1
HP:0033695 | Occupational disability,1
HP:0025144 | Shivering,1
HP:0033047 | Body ache,1
HP:0012531 | Pain,1
HP:0025406 | Asthenia,1
HP:0033665 | Diminished health-related quality of life,1
HP:0003546 | Exercise intolerance,1
HP:0025095 | Sneeze,1
HP:0033850 | Coldness,1
HP:0100812 | Halitosis,2
HP:0031058 | Impairment of activities of daily living,1
HP:0012372 | Abnormal eye morphology,1
HP:0012373 | Abnormal eye physiology,1
HP:0012638 | Abnormal nervous system physiology,1
HP:0410008 | Abnormality of the peripheral nervous system,1
HP:0410014 | Abnormality of ganglion,1
HP:0012639 | Abnormal nervous system morphology,1
HP:0001528 | Hemihypertrophy,2
HP:0002817 | Abnormality of the upper limb,1
HP:0009127 | Abnormality of the musculature of the limbs,2
HP:0009815 | Aplasia/hypoplasia of the extremities,2
HP:0040068 | Abnormality of limb bone,2
HP:0041118 | Fractured upper limb segment,1
HP:0002814 | Abnormality of the lower limb,1
HP:0041117 | Fractured lower limb segment,1
HP:0033766 | Polymelia,1
HP:0001218 | Autoamputation,1
HP:0007289 | Limb fasciculations,3
HP:3000013 | Abnormal platysma muscle morphology,3
HP:0025276 | Abnormality of skin adnexa physiology,1
HP:0000951 | Abnormality of the skin,1
HP:0011138 | Abnormality of skin adnexa morphology,1
HP:0000079 | Abnormality of the urinary system,1
HP:0100589 | Urogenital fistula,1
HP:0000078 | Abnormality of the genital system,1
HP:0012620 | Cloacal abnormality,2
HP:0007379 | Neoplasm of the genitourinary tract,2
HP:0003117 | Abnormal circulating hormone concentration,1
HP:0100568 | Neoplasm of the endocrine system,2
HP:0012093 | Abnormality of endocrine pancreas physiology,2
HP:0031071 | Abnormal endocrine morphology,1
HP:0000834 | Abnormality of the adrenal glands,1
HP:0031072 | Abnormal endocrine physiology,1
HP:0012680 | Abnormality of the pineal gland,1
HP:0000864 | Abnormality of the hypothalamus-pituitary axis,1
HP:0008373 | Puberty and gonadal disorders,1
HP:0000847 | Abnormality of renin-angiotensin system,1
HP:0000820 | Abnormality of the thyroid gland,1
HP:0000819 | Diabetes mellitus,2
HP:0000777 | Abnormality of the thymus,2
HP:0000873 | Diabetes insipidus,1
HP:0000828 | Abnormality of the parathyroid gland,1
HP:0012029 | Abnormal urine hormone level,1
HP:0011792 | Neoplasm by histology,1
HP:0011793 | Neoplasm by anatomical site,1
HP:0031972 | Presyncope,1
HP:0030956 | Abnormality of cardiovascular system electrophysiology,1
HP:0006673 | Reduced systolic function,1
HP:0031653 | Abnormal heart valve physiology,1
HP:0031273 | Shock,1
HP:0031657 | Abnormal heart sound,1
HP:0001279 | Syncope,1
HP:0030163 | Abnormal vascular physiology,2
HP:0033415 | Cardiac tamponade,1
HP:0011028 | Abnormality of blood circulation,1
HP:0033992 | Chronotropic incompetence,1
HP:0034190 | Abnormal fetal cardiovascular physiology,2
HP:0001635 | Congestive heart failure,1
HP:0030872 | Abnormal cardiac ventricular function,1
HP:0030972 | Abnormal systemic blood pressure,1
HP:0033678 | Acute coronary syndrome,1
HP:0001681 | Angina pectoris,1
HP:0025443 | Abnormal cardiac atrial physiology,1
HP:0025015 | Abnormal vascular morphology,2
HP:0011915 | Cardiovascular calcification,2
HP:0010948 | Abnormal fetal cardiovascular morphology,2
HP:0001627 | Abnormal heart morphology,1
HP:0008047 | Abnormality of the vasculature of the eye,2
HP:0100742 | Vascular neoplasm,2
HP:0011276 | Vascular skin abnormality,2
HP:0004930 | Abnormality of the pulmonary vasculature,2
HP:0006707 | Abnormality of the hepatic vasculature,2
HP:0500016 | Abnormal cardiac MRI,1
HP:0500019 | Abnormal resting energy expenditure from metabolic cart test,1
HP:0500018 | Abnormal cardiac exercise stress test,1
HP:0500017 | Abnormal cardiac catheterization,1
HP:0500020 | Abnormal cardiac biomarker test,1
HP:0100605 | Neoplasm of the larynx,2
HP:0100630 | Neoplasia of the nasopharynx,2
HP:0100526 | Neoplasm of the lung,2
HP:0100527 | Neoplasia of the pleura,2
HP:0025427 | Abnormal bronchus physiology,1
HP:0005957 | Breathing dysregulation,1
HP:0012415 | Abnormal blood gas level,1
HP:0031416 | Abnormal nasal mucus secretion,1
HP:0006536 | Airway obstruction,1
HP:0006528 | Chronic lung disease,1
HP:0030875 | Abnormality of pulmonary circulation,2
HP:0012261 | Abnormal respiratory motile cilium physiology,1
HP:0012735 | Cough,1
HP:0006520 | Progressive pulmonary function impairment,1
HP:0031602 | Abnormal mucociliary clearance,1
