phenotype1;phenotype2;cosOriginal;cosTuned;cosOriginalTrans;cosTunedTrans;lin;deltaOriginal;deltaTuned;deltaOriginalTrans;deltaTunedTrans
Temporomandibular joint ankylosis;Dyslexia;1.007255476899445;0.8805999;0.497690489710774;0.5380971118859956;0.9999511492611326;0.007304327638312458;-0.11935123327983987;-0.5022606595503586;-0.46185403737513697
Temporomandibular joint ankylosis;Stippling of the epiphysis of the proximal phalanx of the 4th toe;0.8140445053577423;0.7659119;0.5595380272668038;0.5752104269046647;0.7973657807105512;0.016678724647191112;-0.03145390355524724;-0.2378277534437474;-0.22215535380588647
Temporomandibular joint ankylosis;Ankle joint effusion;0.7939617186784744;0.56284094;0.5660571433244672;0.6440153227012925;0.7973657807105512;-0.003404062032076771;-0.23452484214243596;-0.23130863738608398;-0.15335045800925873
Temporomandibular joint ankylosis;Reduced C-peptide level;1.0382218286395073;0.9029308;0.4878306497980708;0.5309468118786714;0.9999536937290383;0.03826813491046899;-0.09702289758264548;-0.5121230439309675;-0.4690068818503669
Temporomandibular joint ankylosis;Loss of voice;0.9164937362074852;0.8826361;0.526611859380572;0.5374443891283627;0.9999536937290383;-0.08345995752155311;-0.11731762347757346;-0.47334183434846633;-0.46250930460067563
Temporomandibular joint ankylosis;Elevated circulating growth hormone concentration;0.986403176560998;0.84560364;0.5043281366880232;0.5493432695523368;0.9999515360511232;-0.013548359490125228;-0.15434789120325332;-0.49562339936309996;-0.4506082664987864
Temporomandibular joint ankylosis;Visual acuity no light perception;1.0150191588327289;0.8818609;0.49521907350686767;0.5376928654599227;0.9999090677057578;0.015110091126971037;-0.11804815585959694;-0.5046899941988902;-0.46221620224583515
Temporomandibular joint ankylosis;Spinal hypomyelination;1.0178999584168196;0.84571236;0.49430196196270526;0.5493082435610162;0.9999090677057578;0.017990890711061747;-0.15419670398581764;-0.5056071057430526;-0.4506008241447417
Temporomandibular joint ankylosis;Bladder polyp;1.0328451693058014;0.8867116;0.4895431771758625;0.5361383935665673;0.9999574798349273;0.03288768947087406;-0.11324588239230038;-0.5104143026590648;-0.46381908626836
Temporomandibular joint ankylosis;Aberrant melanosome maturation;1.0514475852251053;0.8955682;0.48361649211603874;0.5333024048467544;0.9999574798349273;0.051490105390177954;-0.10438928782976986;-0.5163409877188886;-0.46665507498817294
Temporomandibular joint ankylosis;Vertebral artery tortuosity;0.8493822067975998;0.63626266;0.5481262792519936;0.6184994299129825;0.9999574798349273;-0.15057527303732754;-0.3636948245767486;-0.4518312005829337;-0.3814580499219449
Temporomandibular joint ankylosis;Warm reactive autoantibody positivity;0.9313274621963501;0.7791336;0.5218763652451026;0.5708884714991198;0.9999090677057578;-0.06858160550940773;-0.22077544982779762;-0.4780327024606552;-0.429020596206638
Temporomandibular joint ankylosis;Right aortic arch with retroesophageal left subclavian artery;0.8980986997485161;0.7116318;0.5324925907842057;0.5931127080523375;0.9999090677057578;-0.10181036795724174;-0.2882772928034141;-0.4674164769215521;-0.4067963596534203
Temporomandibular joint ankylosis;Elevated urine suberic acid level;1.1133554354310036;0.9084556;0.46384012132057373;0.5291803337363419;0.9999574798349273;0.11339795559607624;-0.09150186955965878;-0.5361173585143536;-0.47077714609858545
Temporomandibular joint ankylosis;Burkitt lymphoma;0.9631349630653858;0.82333326;0.5117371652636966;0.5565314901334046;0.9999545338528789;-0.036819570787493094;-0.17662127045566212;-0.4882173685891823;-0.4434230437194743
Temporomandibular joint ankylosis;Snail-like ilia;1.0255841426551342;0.8978789;0.4918554257955594;0.5325629244478087;0.9052477392617277;0.12033640339340645;-0.007368853992562707;-0.41339231346616834;-0.372684814813919
Temporomandibular joint ankylosis;Indurated nodule;0.8742015957832336;0.7517976;0.5401492496866629;0.579839799804913;0.9999090677057578;-0.12570747192252418;-0.24811145122397682;-0.45975981801909493;-0.42006926790084487
Temporomandibular joint ankylosis;Absent leukocyte alkaline phosphatase;1.011829194612801;0.8317865;0.4962345625894925;0.553799797860233;0.9999574798349273;0.011871714777873743;-0.16817096650637509;-0.5037229172454348;-0.4461576819746943
Temporomandibular joint ankylosis;Hippocampal sclerosis;1.0072439378127456;0.8441032;0.4976941628126752;0.5498267149079534;0.9999090677057578;0.007334870106987745;-0.15580585058081886;-0.5022149048930826;-0.4500823527978044
