#disease-db	disease-identifier	disease-name	negation	HPO-ID	reference	evidence-code	onset	frequencyHPO	modifier	sub-ontology	alt-names	curators	frequencyRaw	sex
OMIM	101000	Neurofibromatosis, type II	NOT	HP:0009737	OMIM:101000	IEA			 	P	NEUROFIBROMATOSIS, TYPE II	HPO:skoehler[2010-06-18]	-	-
OMIM	101805	Acrofacial dysostosis, Catania type	NOT	HP:0000175	OMIM:101805	TAS			 	P	ACROFACIAL DYSOSTOSIS, CATANIA TYPE	HPO:nvasilevsky[2019-09-09]	-	-
OMIM	101900	Acrokeratosis verruciformis	NOT	HP:0100792	PMID:12542527	PCS		HP:0040285	 	P	ACROKERATOSIS VERRUCIFORMIS	HPO:skoehler[2014-06-24];HPO:probinson[2022-10-09]	0/2	-
OMIM	102500	Hajdu-Cheney syndrome	NOT	HP:0001249	OMIM:102500	TAS			 	P	HAJDU-CHENEY SYNDROME	HPO:skoehler[2014-11-26]	-	-
OMIM	103500	Tietz syndrome	NOT	HP:0001100	OMIM:103500	TAS			 	P	TIETZ SYNDROME	HPO:skoehler[2010-06-18]	-	-
OMIM	104290	Alternating hemiplegia of childhood 1		HP:0002315	PMID:15174025	PCS		HP:0040285	 	P	ALTERNATING HEMIPLEGIA OF CHILDHOOD 1	HPO:skoehler[2010-06-20];HPO:probinson[2022-11-06]	0/5	-
OMIM	104530	Amelogenesis imperfecta, type IA	NOT	HP:0000951	OMIM:104530	TAS			 	P	AMELOGENESIS IMPERFECTA, TYPE IA	HPO:skoehler[2015-02-22]	-	-
OMIM	104570	Ameloonychohypohidrotic syndrome	NOT	HP:0001595	OMIM:104570	TAS			 	P	AMELOONYCHOHYPOHIDROTIC SYNDROME	HPO:iea[2009-02-17]	-	-
OMIM	105120	Amyloidosis, Finnish type	NOT	HP:0012332	OMIM:105120	IEA			 	P	AMYLOIDOSIS, FINNISH TYPE	HPO:skoehler[2010-06-20]	-	-
OMIM	105200	Amyloidosis, familial visceral	NOT	HP:0009830	OMIM:105200	TAS			 	P	AMYLOIDOSIS, FAMILIAL VISCERAL	HPO:probinson[2012-07-26]	-	-
OMIM	105250	Amyloidosis, primary localized cutaneous, 1	NOT	HP:0009830	OMIM:105250	TAS			 	P	AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 1	HPO:skoehler[2010-06-20]	-	-
OMIM	105250	Amyloidosis, primary localized cutaneous, 1	NOT	HP:0012332	OMIM:105250	TAS			 	P	AMYLOIDOSIS, PRIMARY LOCALIZED CUTANEOUS, 1	HPO:skoehler[2010-06-18]	-	-
OMIM	106190	Anhidrosis, isolated, with normal sweat glands		HP:0001507	PMID:25329695	PCS		HP:0040285	 	P	ANHIDROSIS, ISOLATED, WITH NORMAL SWEAT GLANDS	HPO:skoehler[2015-04-05];HPO:probinson[2022-09-23]	0/5	-
OMIM	106190	Anhidrosis, isolated, with normal sweat glands		HP:0001595	PMID:25329695	PCS		HP:0040285	 	P	ANHIDROSIS, ISOLATED, WITH NORMAL SWEAT GLANDS	HPO:skoehler[2015-04-05];HPO:probinson[2022-09-23]	0/5	-
OMIM	106260	Ankyloblepharon-Ectodermal defects-cleft lip/palate		HP:0000175	PMID:15200513	PCS		HP:0040285	 	P	ANKYLOBLEPHARON-ECTODERMAL DEFECTS-CLEFT LIP/PALATE	HPO:probinson[2022-07-11];HPO:probinson[2022-07-11]	0/1	-
