paperId	phenotypeId	phenotypeName	title	clean_abstract
18825719	HP:0200122	Atypical or prolonged hepatitis	Management of patients with decompensated hepatitis B virus associated [corrected] cirrhosis.	1 hepatitis b virus replication associated severe outcome patients decompensated cirrhosis 2 viral suppression induced antivirals results clinical improvement allows liver transplantation delayed avoided 3 early treatment intervention mandatory patients decompensated cirrhosis delay restoration liver functions 4 lamivudine longer drug choice initial enthusiasm tempered high rate resistance development 5 early addon therapy adefovir allows us rescue lamivudine resistance use may limited nephrotoxicity 6 studies ongoing newer generation antivirals telbivudine tenofovir entecavir emtricitabine monotherapy combination determine best strategy achieving rapid prolonged suppression viral replication improved strategies enhance treatment success enough obtain clinical stabilization delay prevent need transplantation reduce risk hepatitis b virus recurrence graftaasld
22103752	HP:0003557	Increased variability in muscle fiber diameter	Myosin light chain 3f attenuates age-induced decline in contractile velocity in MHC type II single muscle fibers.	aging characterized progressive loss muscle mass impaired contractility eg decline force velocity power although slowing contraction speed aging muscle well described underlying molecular mechanisms responsible decrement speed unknown myosin heavy chain mhc isoforms primary molecules determining contractile velocity however contraction speed single fibers within given mhc isoform type variable recent evidence proposes decline shortening velocity vo aging associated decrease relative content essential myosin light chain 3f mlc3f isoform current study first evaluated relative content mlc3f isoform vo adult old rats used recombinant adenovirus rad gene transfer technology increase mlc3f protein content mhc type ii semimembranosus muscle sm hypothesized aging would decrease relative mlc3f content vo type ii fibers ii increasing mlc3f content would restore ageinduced decline vo found agerelated decrement relative mlc3f content vo mhc type ii fibers increasing mlc3f content indicated greater mlc3f mlc3f mlc2f ratio provided significant protection ageinduced decline vo without influencing fiber diameter force generation mhc isoform distribution causing cellular damage best knowledge first data demonstrate positive effects mlc3f slowing contractile function aged skeletal muscle
16498179	HP:0025317	Cubitus varus	Kinematics and kinetics of the racket-arm during the soft-tennis smash under match conditions.	purposes study describe racketarm kinematics kinetics softtennis smash match rallies b assess characteristics smash vs laboratorysimulated smash previous study current study recorded softtennis smash motions match play 3rd east asian games racketarm anatomical joint angular velocity anatomical joint torque calculated 3d coordinate data 13 collected motions obtained using direct linear transformation procedure results showed maximum values anatomical joint torques qualitatively smaller tennis serve peak elbow extension shoulder internal rotation elbow varus torques match play significantly greater values reported laboratorysimulated conditions greater forward swing torques result significantly different racket head velocity possibly significantly shorter forward swing phase match conditions particular clear peak elbow extension torque forward swing phase characteristic pattern smashes match conditions 160 greater laboratorysimulated conditions results supported hypothesis racketarm kinematic kinetic characteristics smash match conditions differ laboratorysimulated conditions possible explanations include timepressure conditions competitive situation match hawthorne effect hudson et al 1986 alter performance match conditions laboratorysimulated conditions
19333398	HP:0030553	Visual acuity no light perception	The brightness of colour.	background perception brightness depends spatial context stimulus appear light dark depending surrounds less wellknown equally important contextual phenomenon colour stimulus also alter brightness specifically stimuli saturated ie purer colour appear brighter stimuli less saturated luminance similarly stimuli red blue appear brighter equiluminant yellow green stimuli nonlinear relationship stimulus intensity brightness called helmholtzkohlrausch hk effect first described nineteenth century never explained take advantage relative simplicity illusion explain contextual effects generally using simple bayesian ideal observer model human visual ecology also use fmri brain scans identify neural correlates brightness without changing spatial context stimulus complicated interpretation related fmri studies results rather modelling human vision directly use bayesian ideal observer model human visual ecology show hk effect result encoding nonlinear statistical relationship retinal images natural scenes would experienced human visual system past show complexity relationship due response functions cone photoreceptors thought represent efficient solution encoding statistics images finally show locus response relationship images scenes lies primary visual cortex v1 earlier visual system since brightness colours opposed luminance accords activity v1 measured fmri conclusions data suggest perceptions brightness represent robust visual response likely sources stimuli determined instance known statistical relationship scenes retinal responses responses early visual system receptors case may represent specifically statistics images post receptor responses likely represent statistical relationship images scenes corollary suggestion visual cortex adapted relate retinal image behaviour given statistics past interactions sources retinal images visual cortex adapted signals receives eyes directly world beyond
23758986	HP:0003978	Fractured radius	Will the untreated ulnar styloid fracture influence the outcome of unstable distal radial fracture treated with external fixation when the distal radioulnar joint is stable.	background ulnar styloid important supportive structure triangular fibrocartilage complex however remains inconclusive whether fractured ulnar styloid fixed unstable distal radius fracture drf stable distal radioulnar joint druj purpose study evaluate effect untreated ulnar styloid fracture outcome unstable drf treated transarticular external fixation druj stable methods 106 patients unstable drf stable druj included study following external fixation patients divided nonfracture tipfracture basefracture groups according location ulnar styloid fracture time injury postoperative evaluation included range wrist motion radiological index grip strength prwehk scores wrist pain scores instability druj external fixator removal time three months postoperatively final followup visit results patients followed 12 24 months 15 months average sixtytwo 106 patients 58 ulnar styloid fracture 16 patients 26 showed radiographic evidence union ulnar styloid fractures final followup visit significant difference radiological findings range wrist motion grip strength prwehk scores wrist pain scores among three patient groups detected external fixator removal time three months postoperatively final followup visit six 106 patients 57 complained persistent ulnarside wrist pain daily activities one patient 09 showed positive sign stresstest three patients 28 showed positive sign provocativetest five patients 47 showed positive sign presstest significant difference percentages patients complained persistent ulnarside wrist pain showed positive sign physical examination distal radioulnar joint among three groups final followup time points conclusion druj stable untreated ulnar styloid fracture affect wrist outcome patient unstable drf treated external fixation
36750032	HP:0040119	Unilateral conductive hearing impairment	Binaural Hearing Using the ADHEAR Bone Conduction System in the Monaurally Occluded Ear.	introduction study aimed investigate binaural cues rehabilitation unilateral occluded ears bone conduction hearing aid methods study sample consisted 40 adult volunteers normal hearing unilateral pseudoconductive hearing loss induced inserting earplug external auditory canal eac silicone material concha ear impression adaptive speechinnoise test italian matrix test performed three spatial orientations assess binaural cues summation squelch head shadow effects evaluations performed normal condition eac occlusion application adhesive bone conduction hearing aid binaural contrast differences calculated three conditions results eac occlusion condition significant increase signaltonoise ratio snr s0n0 24 db s90n90 77 db settings slight albeit significant increase s0n90 setting 135 db fitting bc hearing aid reduction 18 db snr p 0001 s0n0 setting 2 db p 0003 s90n90 setting improvement snr p 0405 evaluation squelch effect s0n90 data corroborated better binaural contrast due reduction summation effect monaural occlusion condition subsequent reduction binaural contrast fitting hearing aid due increase summation effect 25 db vs 03 db p 0001 conclusions application bone conduction hearing aid unilateral pseudoconductive hearing loss strengthens speech recognition noise improving summation effect impeding shadow effect head however appears improvement speech perception noise due spatial release masking
33743140	HP:0001973	Autoimmune thrombocytopenia	Occurrence of autoimmune pancreatitis after chronic immune thrombocytopenia in a Caucasian adolescent.	autoimmune pancreatitis rare distinct increasingly recognized form chronic inflammatory pancreatic disease secondary underlying autoimmune mechanism report 14yearold boy developed autoimmune pancreatitis treatment eltrombopag chronic immune thrombocytopenia therapy corticosteroids resulted complete remission first report cooccurrence autoimmune pancreatitis chronic immune thrombocytopenia childhood clinicians aware rare association early diagnosis therapy autoimmune pancreatitis may prevent severe complications
16028667	HP:0001847	Long hallux	Study on a nonhealing fracture from a patient with systemic lupus erythematosus and its pathogenetic mechanisms.	arthritis osteonecrosis affect large number patients systemic lupus erythematosus sle patient history sle suffered traumatic fracture left foot despite long period immobilization internal fixation fracture failed heal required arthrodeses removal phalanx histopathological investigation revealed destruction cartilage subchondral cystic degeneration vasculitis deposition fibrinogen type iii collagen fibronectin absence bone remolding detectable factin nonhealing therefore due lack progression healing process beyond initial stage deposition immunoglobulins complement c4b possibly forming immune complex autoantibodies cellular components authors found mse55 protein required polymerization actin initiation cellular process organization similar cellular deposition immunoglobulins autoantibodies thus may inhibit differentiation bone cells resulted nonunion patient
22072453	HP:0025317	Cubitus varus	Ultrasonographic findings in cubital tunnel syndrome caused by a cubitus varus deformity.	retrospectively reviewed clinical preoperative ultrasonographic operative findings eight patients tardy ulnar nerve palsy caused cubitus varus deformity mean varus angle affected side 23° preoperative ultrasonography anterior dislocation ulnar nerve medial epicondyle detected dynamic scanning shortaxis images longaxis images revealed nerve compression kinking proximal border flexor carpi ulnaris operative findings revealed compression ulnar nerve fibrous band released cases cause tardy ulnar nerve palsy series patients constriction fibrous band kinking proximal border flexor carpi ulnaris due ulnar nerve dislocation compression resulting forward movement medial head triceps brachii muscle
35729286	HP:0012586	Bilateral renal atrophy	Psoas muscle index and psoas muscle density as predictors of mortality in patients undergoing hemodialysis.	study aimed investigate associations computed tomography ctmeasured psoas muscle index pmi psoas muscle area normalized height psoas muscle density pmd average bilateral psoas muscle ct values hounsfield unit hu mortality patients undergoing hemodialysis included 188 hemodialysis patients underwent abdominal ct pmi pmd measured third lumbar vertebral level found pmi pmd independently associated geriatric nutritional risk index log creactive protein respectively optimal cutoff values pmi pmd men women 339 cmsup2supmsup2sup 416 hu 213 cmsup2supmsup2sup 375 hu respectively followup median 35 years 69 patients died lower pmi lower pmd independently associated increased risk allcause mortality adjusted hazard ratio ahr 205 95 confidence interval ci 114368 ahr 367 95 ci 204660 respectively ahr lower pmi lower pmd vs higher pmi higher pmd 534 95 ci 2381197 addition pmi pmd risk model significantly improved cindex 0775 0893 p 000001 combination pmi pmd may improve mortality prediction patients undergoing hemodialysis
